Office,Governor,Unnamed: 2
Ballot Name,Artur Davis,Ron Sparks
Status,,nominated
Total,119972,198358
Percentage,0.37687933905067067,0.6231206609493293
Autauga,657,956
Baldwin,1430,1112
Barbour,1966,3820
Bibb,284,463
Blount,302,741
Bullock,1467,2164
Butler,1061,2230
Calhoun,1440,1989
Chambers,573,1726
Cherokee,511,2025
Chilton,346,629
Choctaw,2510,2330
Clarke,1032,3321
Clay,712,1610
Cleburne,142,368
Coffee,527,781
Colbert,1971,5690
Conecuh,1053,2371
Coosa,523,1012
Covington,370,789
Crenshaw,950,2285
Cullman,811,2869
Dale,403,751
Dallas,5205,6255
DeKalb,528,3682
Elmore,982,1602
Escambia,556,1065
Etowah,1279,3374
Fayette,1255,2864
Franklin,1259,4762
Geneva,192,397
Greene,1199,2577
Hale,1430,2195
Henry,883,1439
Houston,1114,2250
Jackson,680,3445
Jefferson,19373,26672
Lamar,705,1902
Lauderdale,2642,6716
Lawrence,1380,4712
Lee,1874,2369
Limestone,1149,2704
Lowndes,1374,2512
Macon,2029,2311
Madison,5888,6963
Marengo,2243,4368
Marion,933,2603
Marshall,499,1518
Mobile,10142,6736
Monroe,965,1487
Montgomery,9183,8996
Morgan,1157,2103
Perry,832,2203
Pickens,2079,2599
Pike,653,666
Randolph,579,2363
Russell,1457,1774
Shelby,1998,1773
St. Clair,608,960
Sumter,2429,2288
Talladega,1365,1839
Tallapoosa,776,1498
Tuscaloosa,3446,4112
Walker,2207,6059
Washington,1107,3732
Wilcox,1136,3500
Winston,161,381
