Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,Total Number of Votes,ABSENTEE VOTERS,COTTAGE GROVE DAY CARE CENTER,COURTHOUSE,EQUALITY FIRE DEPARTMENT,HANOVER,KELLEYTON FIRE DEPARTMENT,MARBLE VALLEY FIRE DEPARTMENT,MT_ OLIVE COMMUNITY CENTER,OLD RAILROAD DEPOT,RAY FIRE DEPARTMENT,RICHVILLE FIRE DEPARTMENT,WEOGUFKA VOTING HOUSE,WEST COOSA SENIOR CENTER
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,
19,COOSA,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,4439,127,201,514,295,145,634,96,138,876,258,230,339,586
19,COOSA,GOVERNOR,DEM,"Siegelman, Don",2521,47,191,263,90,75,387,40,81,668,150,104,146,279
19,COOSA,GOVERNOR,LIB,"Sophocleus, John P.",69,3,0,12,3,4,2,1,5,7,5,7,11,9
19,COOSA,GOVERNOR,REP,"Riley, Bob",1812,80,6,232,200,65,242,55,49,197,101,114,177,294
19,COOSA,GOVERNOR,WI,WRITE-IN,4,0,0,0,0,0,0,0,1,2,0,0,1,0
19,COOSA,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",2707,65,187,318,133,73,406,42,88,677,169,94,162,293
19,COOSA,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",78,2,1,11,3,7,7,1,3,15,4,6,8,10
19,COOSA,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",1546,58,8,177,153,59,199,52,44,160,83,121,161,271
19,COOSA,LIEUTENANT GOVERNOR,WI,WRITE-IN,10,0,0,0,1,0,2,0,1,4,0,0,1,1
19,COOSA,UNITED STATES SENATOR,DEM,"Parker, Susan",2050,46,181,223,72,41,332,32,64,597,127,59,94,182
19,COOSA,UNITED STATES SENATOR,LIB,"Allen, Jeff",81,1,1,18,4,8,5,1,4,17,5,3,11,3
19,COOSA,UNITED STATES SENATOR,REP,"Sessions, Jeff",2205,77,13,267,212,91,283,63,65,238,124,157,230,385
19,COOSA,UNITED STATES SENATOR,WI,WRITE-IN,8,1,0,0,0,1,0,0,0,1,0,0,1,4
19,COOSA,ATTORNEY GENERAL,DEM,"Whigham, Boyd",1981,43,180,229,66,43,309,30,64,593,131,58,71,164
19,COOSA,ATTORNEY GENERAL,LIB,"Myers, Wilson",106,4,1,19,4,4,12,1,10,21,4,6,10,10
19,COOSA,ATTORNEY GENERAL,REP,"Pryor, Bill",2154,74,14,242,215,86,284,64,59,228,119,148,241,380
19,COOSA,ATTORNEY GENERAL,WI,WRITE-IN,2,0,0,0,0,0,0,0,0,1,0,0,1,0
19,COOSA,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",2261,44,180,254,87,50,353,45,74,632,141,79,109,213
19,COOSA,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",101,5,2,14,6,5,14,1,7,11,3,7,10,16
