Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,Total Number of Votes,Absentee,AL Industrial Devel. Training,AL State University,AL Technacenter,Alcazar Shrine Temple,Aldersgate UMC,AUM,Bell Rd. YMCA,Bellingrath Comm. Ctr.,Beulah Baptist Church,Bryant Missionary Bapt.,Capitol Heights Comm. Ctr.,Carver High Sch.,Catoma Elem. Sch.,Chesser Comm. Ctr. ,Chisholm Comm. Ctr.,Cleveland Ave. YMCA,Cloverdale Comm. Ctr.,Coliseum Blvd. Pub. Library,Eastdale Bapt. Ch.,Fire Station No. 14,First Southern Bapt. Ch.,Fitzpatrick Elem. Sch.,Flowers Elem. Sch.,Franklin Boys & Girls Club,Georgia Washington Jr. Hi. Sch.,Goodwyn Comm. Ctr.,Hamner Hall Fire Station,Wm. Harrison Elem. Sch.,Hayneville Rd. Comm. Ctr.,Highland Ave. Elem. Sch.,Highland Gardens Comm. Ctr.,Houston Hill Comm. Ctr.,Hunter Station Comm. Center,King Hill Comm. Ctr.,Lagoon Park Fire Station,McIntyre Comm. Ctr.,Montgomery Boys Club,Museum of Fine Arts,Newtown Comm. Ctr.,No. Montgomery Comm. Ctr.,Peter Crump Sch.,Peterson Elem.,Pike Rd. Public Library,Pintlala Vol. Fire Dept.,Ramer Public Library,Seth Johnson Elem. Sch.,Snowdoun Women's Club,So. Montgomery Co. Vol. Fire/Dublin,So. Montgomery Co. Vol. Fire/Pine Lev.,Southeast YMCA,Southlawn Elem. Sch.,Strata Church of Christ,Union Academy Bapt. Ch.,Union Chapel AME Zion Ch.,Vaughn Forest Bapt. Church,Vaughn Pk. Ch. Of Christ,Wares Ferry Rd. Elem. Sch.,Challenged
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MONTGOMERY,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
51,MONTGOMERY,UNITED STATES SENATOR,LIB,"Allen, Jeff",781,14,24,24,15,12,20,12,28,5,18,15,24,5,10,2,16,10,35,30,19,5,3,25,42,2,12,35,6,6,7,11,17,2,3,15,20,6,4,14,3,17,19,2,18,7,7,16,1,3,4,26,11,0,2,2,19,31,19,1
51,MONTGOMERY,UNITED STATES SENATOR,REP,"Sessions, Jeff",35760,1536,319,150,1300,511,839,1303,1886,32,132,481,683,30,450,119,323,104,2167,1605,835,182,167,682,1850,35,610,2450,61,53,66,282,559,21,124,279,1791,58,70,1184,72,193,201,45,659,598,222,371,190,182,168,1902,128,110,43,93,1923,2574,752,5
51,MONTGOMERY,UNITED STATES SENATOR,WI,WRITE-IN,21,0,0,2,0,0,1,0,3,0,4,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,MONTGOMERY,ATTORNEY GENERAL,DEM,"Whigham, Boyd",29418,616,1602,970,368,255,783,385,491,427,1775,1014,221,678,158,49,243,765,799,289,448,903,72,1145,331,482,631,479,241,392,479,153,181,440,194,307,422,668,191,571,362,1182,1029,166,246,251,104,987,89,75,72,620,1368,61,53,260,390,881,593,11
51,MONTGOMERY,ATTORNEY GENERAL,LIB,"Myers, Wilson",989,24,28,34,15,13,30,23,32,7,26,31,26,6,10,2,21,9,48,40,24,6,2,28,46,3,10,38,10,7,6,10,16,5,4,23,27,11,7,27,6,18,20,4,13,12,3,18,0,8,4,24,21,3,4,3,31,42,18,2
51,MONTGOMERY,ATTORNEY GENERAL,REP,"Pryor, Bill",36355,1531,364,160,1327,531,866,1322,1906,39,134,519,691,45,448,110,325,110,2211,1633,867,187,163,697,1913,40,618,2489,58,51,63,291,556,25,119,287,1826,47,65,1226,79,214,241,40,651,566,211,391,195,175,188,1933,133,113,40,81,1854,2587,799,4
51,MONTGOMERY,ATTORNEY GENERAL,WI,WRITE-IN,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,MONTGOMERY,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",36550,741,1709,1041,631,346,1017,594,836,441,1862,1143,346,702,225,67,294,794,1323,580,640,954,94,1240,681,501,725,930,263,388,504,188,249,452,208,378,757,686,204,838,369,1255,1118,175,335,307,135,1115,119,85,100,1112,1421,72,55,288,686,1504,714,13
51,MONTGOMERY,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",943,30,21,26,18,11,23,22,26,4,18,25,25,3,12,2,16,8,62,41,25,5,3,21,53,0,9,42,6,7,5,15,18,4,3,13,34,10,7,31,5,14,9,1,25,13,3,7,3,6,7,34,11,2,1,4,27,50,17,0
51,MONTGOMERY,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",28753,1339,236,99,1050,433,646,1082,1550,25,90,384,574,24,361,91,267,76,1677,1309,676,143,142,583,1534,27,498,1984,43,31,49,245,465,17,107,229,1448,31,52,967,71,147,156,28,516,501,175,278,158,165,155,1444,98,102,40,67,1541,1878,645,4
51,MONTGOMERY,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
