County,"Gibson, Carolyn (D)","Reeves, Franklin (L)","Chapman, Beth (R)",Write-In,Totals
Autauga,4461,423,9100,29,9129
Baldwin,9976,1648,31367,62,31429
Barbour,4030,237,3123,5,3128
Bibb,2811,198,2943,0,2943
Blount,4688,698,9034,27,9061
Bullock,2363,76,855,0,855
Butler,3175,101,3265,6,3271
Calhoun,13839,1276,15818,53,15871
Chambers,4660,200,4222,0,4222
Cherokee,3178,232,2206,8,2214
Chilton,4760,497,7410,27,7437
Choctaw,2730,83,1854,0,1854
Clarke,3994,160,3924,11,3935
Clay,2015,167,2455,1,2456
Cleburne,1847,265,2176,10,2186
Coffee,5631,392,6122,11,6133
Colbert,9212,471,6413,25,6438
Conecuh,2642,136,1761,7,1768
Coosa,2244,141,1692,7,1699
Covington,4615,375,5267,20,5287
Crenshaw,1964,106,1989,6,1995
Cullman,9364,1242,13514,42,13556
Dale,4231,408,6648,21,6669
Dallas,9675,379,5302,22,5324
DeKalb,7242,544,7966,6,7972
Elmore,5796,712,13670,35,13705
Escambia,3467,202,4570,12,4582
Etowah,15615,1125,13312,32,13344
Fayette,3745,284,2541,8,2549
Franklin,4327,326,3138,13,3151
Geneva,2474,325,4368,11,4379
Greene,3254,51,700,2,702
Hale,3921,94,1915,5,1920
Henry,2330,164,2481,2,2483
Houston,7665,725,15369,46,15415
Jackson,6327,452,4684,12,4696
Jefferson,106055,5075,96028,74,96102
Lamar,2758,177,2350,0,2350
Lauderdale,12334,901,11043,25,11068
Lawrence,5963,415,3335,15,3350
Lee,11007,957,15733,0,15733
Limestone,8315,832,9994,20,10014
Lowndes,3366,111,1273,1,1274
Macon,5712,166,831,8,839
Madison,35141,3673,44411,120,44531
Marengo,4325,131,3007,5,3012
Marion,4971,410,4163,13,4176
Marshall,8571,1270,11463,31,11494
Mobile,40703,2745,56363,9,56372
Monroe,3369,182,4201,1,4202
Montgomery,32439,1375,30181,2,30183
Morgan,13842,1317,18743,0,18743
Perry,3495,70,1181,6,1187
Pickens,3528,124,2611,3,2614
Pike,4340,179,3466,6,3472
Randolph,3184,238,3181,0,3181
Russell,6048,256,3889,15,3904
Shelby,10662,1372,35917,70,35987
St. Clair,5693,731,12474,32,12506
Sumter,3714,54,1138,2,1140
Talladega,10720,761,9606,46,9652
Tallapoosa,5965,393,7207,15,7222
Tuscaloosa,19799,1170,22077,31,22108
Walker,10957,768,7977,12,7989
Washington,3107,191,2443,14,2457
Wilcox,3038,73,1247,2,1249
Winston,2510,365,4482,16,4498
Total,579889,41397,655189,1178,1277653
