County,Beth Chapmam,Pat Duncan,Meredith Mayes,Jim Ziegler,Unnamed: 5
Autauga,1661,1253,532,2373,
Baldwin,6013,2613,2241,9546,
Barbour,86,55,8,161,
Bibb,395,329,118,658,
Blount ,1372,1068,494,2480,
Bullock,21,11,6,11,
Butler,277,29,24,80,
Calhoun,1771,1374,499,3279,
Chambers,263,222,79,570,
Cherokee,62,32,13,80,
Chilton,1238,948,403,2396,
Choctaw,6,10,6,29, 
Clarke,191,161,74,510,
Clay,427,300,176,1000,
Cleburne,106,107,61,262,
Coffee,479,363,189,1126,
Colbert,265,247,140,667,
Conecuh,48,40,7,78,
Coosa,131,112,37,306,
Covington,394,247,174,785,
Crenshaw,83,34,12,116,
Cullman,1471,1188,593,3079,
Dale,445,335,163,1113,
Dallas,133,83,56,246,
Dekalb,550,495,241,900,
Elmore,2022,1728,688,2901,
Escambia,209,106,43,274,
Etowah,1317,846,453,2339,
Fayette,82,113,49,176,
Franklin,78,57,30,160,
Geneva,596,478,162,1646,
Greene,9,18,6,48,
Hale,20,15,5,38,
Henry,93,53,21,133,
Houston,1260,853,372,2464,
Jackson,169,215,66,391,
Jefferson,17733,8462,5851,19664,
Lamar,40,40,8,80,
Lauderdale,493,451,284,1033,
Lawrence,67,65,32,158,
Lee,1299,1689,503,2293,
Limestone,615,533,214,1284,
Lowndes,67,67,26,94,
Macon,47,50,21,106,
Madison,4680,3190,2044,6344,
Marengo,99,62,27,214,
Marion,238,223,118,463,
Marshall,975,800,800,1904,
Mobile,10251,3303,3580,16092,
Monroe,571,231,70,752,
Montgomery,4327,4920,2797,5689,
Morgan,1515,2008,554,2996,
Perry,14,22,7,42,
Pickens,43,35,15,94,
Pike,332,341,154,758,
Randolph,128,114,44,259,
Russell,182,156,50,345,
Shelby,7549,3005,1792,5669,
St. Clair,2133,1406,835,3904,
Sumter,6,7,1,13,
Talladega,762,720,253,2200,
Tallapoosa,743,587,243,1512,
Tuscaloosa,2162,1786,1205,4251,
Walker,368,340,136,793,
Washington,75,38,9,141,
Wilcox,52,35,13,68,
Winston,704,729,352,1643,
Calculated,82013,51553,30279,123279,
Reported,82013,51553,30279,123279,
