County,"Black, Stephen Foster (D)","Garland,Gabe (L)","Ivey, Kay (R) ",Write-In,Totals
Autauga,4087,297,9844,25,14253
Baldwin,11040,1390,31226,57,43713
Barbour,3827,161,3578,8,7574
Bibb,2958,126,3001,0,6085
Blount,5440,433,8990,16,14879
Bullock,2385,47,961,0,3393
Butler,3121,96,3222,7,6446
Calhoun,15100,819,15828,50,31797
Chambers,4380,181,4593,0,9154
Cherokee,3258,144,2370,9,5781
Chilton,5156,327,7521,17,13021
Choctaw,2585,62,2025,0,4672
Clarke,3975,108,4229,14,8326
Clay,2339,129,2361,4,4833
Cleburne,1881,210,2295,5,4391
Coffee,4559,300,7373,25,12257
Colbert,10061,318,6053,22,16454
Conecuh,2519,87,1993,9,4608
Coosa,2335,101,1741,7,4184
Covington,4160,249,6132,12,10553
Crenshaw,1749,82,2256,12,4099
Cullman,10754,809,13253,36,24852
Dale,3796,293,7370,15,11474
Dallas,9664,250,5623,23,15560
DeKalb,7941,308,7994,1,16244
Elmore,5545,508,14480,18,20551
Escambia,3584,140,4647,17,8388
Etowah,15987,813,13797,34,30631
Fayette,3749,230,2804,8,6791
Franklin,4756,176,3090,7,8029
Geneva,2193,232,4848,12,7285
Greene,3293,59,694,3,4049
Hale,4035,80,1920,3,6038
Henry,2110,134,2824,10,5078
Houston,6892,518,16883,50,24343
Jackson,6680,309,4734,7,11730
Jefferson,112496,3974,93594,69,210133
Lamar,2710,122,2517,0,5349
Lauderdale,13860,539,10587,25,25011
Lawrence,6874,244,2900,10,10028
Lee,10585,827,16708,0,28120
Limestone,9882,511,9195,25,19613
Lowndes,3372,77,1372,2,4823
Macon,5676,100,979,7,6762
Madison,39964,2619,42708,109,85400
Marengo,4311,90,3153,9,7563
Marion,5098,268,4381,19,9766
Marshall,9865,675,11462,25,22027
Mobile,43961,2478,54914,8,101361
Monroe,3455,127,4273,5,7860
Montgomery,31251,938,33350,3,65542
Morgan,16071,1119,17405,0,34595
Perry,3536,31,1255,3,4825
Pickens,3624,102,2640,0,6366
Pike,3305,138,4538,13,7994
Randolph,3252,190,3279,0,6721
Russell,5783,206,4255,16,10260
Shelby,12733,1151,34405,59,48348
St. Clair,6401,590,12340,33,19364
Sumter,3727,55,1140,2,4924
Talladega,11445,439,9644,33,21561
Tallapoosa,6109,290,7441,21,13861
Tuscaloosa,21429,918,21601,23,43971
Walker,11759,442,7904,11,20116
Washington,3305,143,2429,9,5886
Wilcox,2861,46,1528,1,4436
Winston,2950,226,4423,15,7614
Total,609544,30201,660873,1098,1301716
