County,U.S. Senator,Unnamed: 2
 ,Shelby,Moser
Autauga  ,7547,1415
Baldwin  ,23043,6935
Barbour  ,545,95
Bibb  ,2849,375
Blount  ,7666,1610
Bullock  ,109,19
Butler  ,1539,187
Calhoun  ,7606,1327
Chambers  ,1865,302
Cherokee  ,1111,237
Chilton  ,6544,1025
Choctaw  ,149,30
Clarke  ,1837,187
Clay  ,1041,129
Cleburne  ,1636,365
Coffee  ,7135,1160
Colbert  ,2445,419
Conecuh  ,435,82
Coosa  ,793,124
Covington  ,4531,748
Crenshaw  ,575,95
Cullman  ,10347,2646
Dale  ,4670,868
Dallas  ,376,46
DeKalb  ,3503,681
Elmore  ,9514,1887
Escambia  ,3183,443
Etowah  ,9912,1762
Fayette  ,736,120
Franklin  ,950,158
Geneva  ,4414,724
Greene  ,172,15
Hale  ,489,57
Henry  ,1648,243
Houston  ,11501,1831
Jackson  ,2370,430
Jefferson  ,51224,8578
Lamar  ,335,77
Lauderdale  ,5069,921
Lawrence  ,1722,309
Lee  ,9904,2309
Limestone  ,6884,1114
Lowndes  ,395,81
Macon  ,316,63
Madison  ,32328,4950
Marengo  ,337,34
Marion  ,1533,316
Marshall  ,9965,1905
Mobile  ,30347,6367
Monroe  ,2167,243
Montgomery  ,18386,2528
Morgan  ,17100,3193
Perry  ,355,15
Pickens  ,713,86
Pike  ,3235,421
Randolph  ,1028,201
Russell  ,565,93
Shelby  ,21850,4392
St. Clair  ,9468,2190
Sumter  ,56,8
Talladega  ,5579,1013
Tallapoosa  ,4300,898
Tuscaloosa  ,15507,2054
Walker  ,5036,975
Washington  ,343,39
Wilcox  ,240,26
Winston  ,4325,1014
Winston  ,405398,75190
,0.8435458230334507,0.1564541769665493
