County,John Patterson,Ralph Price ,A.W. Todd,Billy Walker,George Wallace
Autauga,1587,3,60,12,1110
Baldwin,2888,10,575,54,1917
Barbour,348,17,40,20,4736
Bibb,1978,2,56,18,387
Blount,2757,8,1402,78,1409
Bullock,408,5,7,4,1271
Butler,2824,2,302,11,1783
Calhoun,6111,14,931,218,4095
Chambers,4480,14,187,26,1663
Cherokee,2186,8,823,21,1344
Chilton,2943,0,263,64,1614
Choctaw,1812,1,198,10,1288
Clarke,3245,6,122,47,1821
Clay,3033,0,256,41,847
Cleburne,2498,6,382,35,748
Coffee,1086,4,271,227,4389
Colbert,1885,6,1921,290,2435
Conecuh,2062,3,263,6,1272
Coosa,1746,3,271,30,817
Covington,4943,7,242,40,3180
Crenshaw,2185,11,153,30,2216
Cullman,2233,11,2877,87,3605
Dale,625,4,65,215,4218
Dallas,2199,0,104,11,2221
Dekalb,4043,52,1805,36,2181
Elmore,3014,6,280,29,2935
Escambia,4051,7,272,76,1895
Etowah,4899,24,950,544,3105
Fayette,2197,7,391,60,1587
Franklin,1092,5,4974,34,677
Geneva,1366,4,273,718,3047
Greene,547,1,114,2,504
Hale,1103,0,119,2,853
Henry,630,2,200,188,2308
Houston,1737,2,318,1515,4933
Jackson,3255,9,1647,21,1552
Jefferson,21603,63,7546,622,16595
Lamar,1897,16,882,23,838
Lauderdale,2521,8,1489,311,3503
Lawrence,1712,4,1751,93,1464
Lee,2726,0,191,12,1958
Limestone,1932,8,1352,141,1092
Lowndes,620,0,14,4,929
Macon,888,1,697,9,1028
Madison,4737,8,1514,94,2521
Marengo,1756,2,85,5,1536
Marion,2616,14,1993,130,1949
Marshall,4101,17,3419,132,2261
Mobile,11482,38,3453,413,10211
Monroe,2239,2,116,6,1250
Montgomery,5785,15,1641,86,8763
Morgan,3464,42,2438,183,3281
Perry,1398,8,43,4,622
Pickens,2205,8,323,14,1016
Pike,1190,8,241,12,3720
Randolph,4221,9,745,10,1385
Russell,2750,6,275,15,2449
Shelby,2290,2,273,88,926
St. Clair,2669,6,557,236,1300
Sumter,888,0,61,1,466
Talladega,4542,39,1168,167,2409
Tallapoosa,4848,30,224,36,2454
Tuscaloosa,6272,6,533,95,3482
Walker,3147,21,2432,131,4722
Washington,2705,8,215,51,955
Wilcox,1132,2,21,8,888
Winston,527,0,434,11,499
Calculated,196859,655,59240,7963,162435
Reported,196859,655,59240,7963,162435
