County,Jim Allen,Steve Arnold,Ted McLaughlin,Richard Shelby,Mrs. Frank Stewart
Autauga,2442,146,285,3335,223
Baldwin,5979,550,1001,5430,606
Barbour,1853,142,357,2390,170
Bibb,928,53,102,4606,155
Blount,3399,184,338,4047,198
Bullock,1066,109,479,1489,115
Butler,2248,179,387,3083,177
Calhoun,9080,446,2324,7673,1025
Chambers,3178,209,554,3896,255
Cherokee,2785,160,126,1238,307
Chilton,1676,52,249,6943,120
Choctaw,880,68,809,3861,158
Clarke,2231,181,487,3496,170
Clay,1755,103,238,1458,173
Cleburne,2234,209,295,1276,266
Coffee,3326,179,373,4388,247
Colbert,4911,224,355,6406,319
Conecuh,1425,116,186,2434,93
Coosa,1091,68,136,2084,142
Covington,3728,283,609,4137,220
Crenshaw,1474,144,106,2327,55
Cullman,7881,555,786,5176,408
Dale,3132,249,514,3602,265
Dallas,1782,169,3352,6573,152
Dekalb,6674,302,328,3930,354
Elmore,3933,224,474,4936,375
Escambia,3447,222,539,3682,302
Etowah,13624,413,1644,9601,899
Fayette,2885,96,168,3386,186
Franklin,3545,141,292,2556,233
Geneva,2489,193,487,2789,182
Greene,673,59,1389,1769,63
Hale,594,66,968,2513,58
Henry,1509,90,176,1883,147
Houston,6954,273,602,7337,527
Jackson,4524,203,330,2894,478
Jefferson,30659,2046,21417,85275,3506
Lamar,3736,96,308,1605,237
Lauderdale,5982,238,371,5933,357
Lawrence,3605,234,426,3330,218
Lee ,3966,225,814,6478,428
Limestone,5004,175,199,3966,276
Lowndes,535,57,997,1505,65
Macon,1646,227,365,2900,274
Madison,13380,492,2582,16173,1274
Marengo,857,75,563,4870,91
Marion,5418,181,342,3620,363
Marshall,6795,198,419,5378,392
Mobile,18984,1308,4988,22366,3243
Monroe,2262,198,460,3587,238
Montgomery,10389,588,2230,26336,1547
Morgan,9632,390,694,9914,720
Perry,378,53,1614,2416,44
Pickens,2571,155,270,4210,218
Pike,3205,217,347,3645,202
Randolph,2074,112,234,1450,218
Russell,2022,121,263,2971,217
Shelby,2529,359,198,4700,212
St. Clair,2618,228,427,9448,265
Sumter,726,81,2153,2782,67
Talladega,4564,331,670,6602,456
Tallapoosa,4045,289,563,4881,332
Tuscaloosa,4146,283,996,21654,374
Walker,6362,477,1166,6573,641
Washington,2164,83,646,3273,216
Wilcox,936,68,2095,1865,88
Winston,1681,77,122,1825,121
Calculated,284206,16722,70784,420155,26723
Reported,284206,16722,70784,420155,26723
