County,Mrs. George Wallace (D),Jim Martin (R),Carl Robinson (I)
Autauga,4664,1660,257
Baldwin,10601,3712,304
Barbour,5925,649,116
Bibb,3534,790,150
Blount,4974,3398,190
Bullock,2204,1012,100
Butler,5131,1259,299
Calhoun,13621,5908,1933
Chambers,6237,2321,97
Cherokee,3442,749,83
Chilton,5051,2949,167
Choctaw,4064,1638,69
Clarke,5484,976,240
Clay,3226,1467,71
Cleburne,2907,919,33
Coffee,6468,1066,183
Colbert,9457,4097,715
Conecuh,3719,686,68
Coosa,2117,805,306
Covington,9601,1980,272
Crenshaw,3953,778,81
Cullman,7981,7438,443
Dale,6007,1125,131
Dallas,11388,2326,1531
Dekalb,8091,6777,185
Elmore,7301,1963,319
Escambia,7307,1523,282
Etowah,13849,9549,1580
Fayette,3221,1587,132
Franklin,4629,3741,352
Geneva,6620,852,112
Greene,1359,1365,102
Hale,2957,1400,302
Henry,3799,472,172
Houston,12015,2202,691
Jackson,6259,1668,109
Jefferson,80658,64290,14177
Lamar,3951,564,98
Lauderdale,9662,4579,997
Lawrence,5152,1461,165
Lee,6214,2898,480
Limestone,5823,1544,265
Lowndes,2049,481,62
Macon,2520,1629,1308
Madison,16731,14759,5032
Marengo,4865,2231,335
Marion,5034,2566,179
Marshall,7969,4682,432
Mobile,44742,18605,4058
Monroe,4899,934,144
Montgomery,23687,12578,1325
Morgan,10063,4825,824
Perry,2708,2043,125
Pickens,3682,846,273
Pike,4932,1976,148
Randolph,4284,1493,134
Russell,6160,1583,152
Shelby,5820,3242,376
St. Clair,5166,2737,230
Sumter,2185,1374,165
Talladega,9329,4981,1170
Tallapoosa,6726,2452,216
Tuscaloosa,13540,8640,760
Walker,10484,5200,793
Washington,4063,757,78
Wilcox,2742,677,833
Winston,2502,3509,142
Calculated,537505,262943,47653
Reported,537505,262943,47653
