Unnamed: 0,Jim Allen,John Taylor,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Autauga,3952.0,954.0,,,,
Baldwin,11529.0,1719.0,,,,
Barbour,4724.0,628.0,,,,
Bibb,4228.0,504.0,,,,
Blount,5060.0,850.0,,,,
Bullock,1957.0,834.0,,,,
Butler,4980.0,763.0,,,,
Calhoun,14304.0,3648.0,,,,
Chambers,6917.0,792.0,,,,
Cherokee,4181.0,437.0,,,,
Chilton,4957.0,883.0,,,,
Choctaw,3739.0,618.0,,,,
Clarke,4966.0,428.0,,,,
Clay,3781.0,700.0,,,,
Cleburne,2839.0,407.0,,,,
Coffee,6846.0,1261.0,,,,
Colbert,8376.0,2870.0,,,,
Conecuh,2903.0,473.0,,,,
Coosa,3000.0,450.0,,,,
Covington,7173.0,1403.0,,,,
Crenshaw,3311.0,613.0,,,,
Cullman,11819.0,2845.0,,,,
Dale,6494.0,801.0,,, ,
Dallas,10407.0,1958.0,,,,
Dekalb,7673.0,1377.0,,,,
Elmore,6211.0,1275.0,,,,
Escambia,6240.0,875.0,,,,
Etowah,19956.0,3883.0,,,,
Fayette,4569.0,1346.0,,,,
Franklin,4221.0,1010.0,,,, 
Geneva,5674.0,535.0,,,,
Greene,1587.0,433.0,,,,
Hale,2877.0,280.0,,,,
Henry,3322.0,276.0,,,,
Houston,9830.0,1046.0,,,,
Jackson,5920.0,947.0,,,,
Jefferson,94881.0,22920.0,,,,
Lamar,4359.0,661.0,,,,
Lauderdale,10262.0,2790.0,,,,
Lawrence,6448.0,991.0,,,,
Lee ,8032.0,1638.0,,,,
Limestone,6737.0,1039.0,,,,
Lowndes,1529.0,232.0,,,,
Macon,3413.0,1176.0,,,,
Madison,25222.0,6095.0,,,,
Marengo,5609.0,627.0,,,,
Marion,6107.0,1522.0,,,,
Marshall,9780.0,1429.0,,,,
Mobile,36039.0,9070.0,,,,
Monroe,5577.0,354.0,,,,
Montgomery,23572.0,5946.0,,,,
Morgan,12756.0,2313.0,,,,
Perry,3201.0,1160.0,,,,
Pickens,4607.0,762.0,,,,
Pike,5287.0,1273.0,,,,
Randolph,3821.0,567.0,,,,
Russell,4732.0,670.0,,,,
Shelby,5643.0,907.0,,,,
St. Clair,7542.0,1344.0,,,,
Sumter,2733.0,378.0,,,,
Talladega,9525.0,2255.0,,,,
Tallapoosa,7894.0,1797.0,,,,
Tuscaloosa,15294.0,3363.0,,,,
Walker,12413.0,3546.0,,,,
Washington,4843.0,686.0,,,,
Wilcox,3197.0,707.0,,,,
Winston,1006.0,508.0,,,,
Total,572584.0,118848.0,,,,
 ,,,,,,
