County,Sowell - D,Shelby - R,Write-Ins
Autauga,3960,15728,30
Baldwin,13509,54503,119
Barbour,3989,6323,15
Bibb,1828,5763,7
Blount,3284,17781,42
Bullock,2740,1701,1
Butler,2969,5223,10
Calhoun,12077,32273,59
Chambers,4804,7958,0
Cherokee,2588,6166,9
Chilton,3103,13168,26
Choctaw,3048,4018,5
Clarke,4141,6925,10
Clay,1552,4928,4
Cleburne,1151,4389,9
Coffee,3552,13731,17
Colbert,9390,13969,16
Conecuh,2418,3357,7
Coosa,1768,3112,3
Covington,2734,11500,18
Crenshaw,1424,3934,11
Cullman,7094,27495,55
Dale,3796,13994,32
Dallas,9494,8642,16
DeKalb,5753,16839,0
Elmore,5419,22724,43
Escambia,3482,8424,13
Etowah,13544,28496,83
Fayette,2034,5785,13
Franklin,3803,8024,11
Geneva,1708,8595,20
Greene,3263,1283,1
Hale,3813,3758,9
Henry,2093,5059,3
Houston,8009,27576,42
Jackson,7292,12283,26
Jefferson,120519,168194,251
Lamar,1799,4919,0
Lauderdale,12042,24111,43
Lawrence,5254,8372,8
Lee,14168,29393,0
Limestone,7324,21060,28
Lowndes,3534,2177,4
Macon,6811,2315,6
Madison,40768,87454,176
Marengo,4265,5808,5
Marion,3250,9355,28
Marshall,6771,23940,34
Mobile,55222,93892,15
Monroe,3327,6029,10
Montgomery,39181,47044,7
Morgan,11330,34687,71
Perry,3388,2012,6
Pickens,3488,5600,0
Pike,3615,7885,15
Randolph,2517,6150,3
Russell,7723,8500,31
Shelby,11478,66315,118
St. Clair,4692,24021,49
Sumter,4183,2145,2
Talladega,9924,19488,36
Tallapoosa,4627,12875,25
Tuscaloosa,21197,47338,45
Walker,8139,20075,21
Washington,2703,5254,11
Wilcox,3383,2013,0
Winston,1770,8352,15
TOTAL,595018,1242200,1848
