County,Terry Ellis,Jackie Golson
Autauga,3169,2806
Baldwin,3219,2475
Barbour,1663,2281
Bibb,2242,1101
Blount ,2919,1217
Bullock,1242,1258
Butler,1588,2658
Calhoun,6901,5275
Chambers,3408,1897
Cherokee,2588,1298
Chilton,3823,2413
Choctaw,2090,1757
Clarke,2702,2058
Clay,1275,656
Cleburne,2078,986
Coffee,3940,2257
Colbert,4767,1647
Conecuh,1735,838
Coosa,1772,727
Covington,2847,2065
Crenshaw,1285,1207
Cullman,5040,2345
Dale,2431,1857
Dallas,3076,4244
Dekalb,4147,3049
Elmore,2994,2761
Escambia,2303,1580
Etowah,8961,4612
Fayette,3011,1741
Franklin,3376,1572
Geneva,1174,2301
Greene,1093,2637
Hale,1892,1235
Henry,1739,1357
Houston,5244,4557
Jackson,3447,1379
Jefferson,35295,43572
Lamar,2353,1504
Lauderdale,7568,3330
Lawrence,3629,925
Lee,3136,3690
Limestone,6695,2671
Lowndes,797,1711
Macon,2667,1424
Madison,17028,7730
Marengo,3295,1749
Marion,4917,2597
Marshall,5758,2942
Mobile,19996,16983
Monroe,13152,14232
Montgomery,2497,1073
Morgan,9711,4000
Perry,1560,1875
Pickens,3206,2207
Pike,2740,1953
Randolph,1852,909
Russell,1472,645
Shelby,2969,1272
St. Clair,4759,1800
Sumter,1768,2704
Talladega,4876,1984
Tallapoosa,4635,2557
Tuscaloosa,9515,8046
Walker,6730,2544
Washington,3350,1893
Wilcox,1397,2818
Winston,1259,586
Calculated,297763,220030
Reported,297763,220030
