Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,,,,,Total Number of Votes,ABSENTEE VOTERS,BARNWELL CHURCH,BARNWELL COMMUNITY CENTER,BAY MINETTE CITY HALL CIVIC .1,BAY MINETTE CITY HALL CIVIC .2,BAY MINETTE INTERMEDIATE SCH,BELFOREST COMMUNITY CENTER,BON SECOUR SWIFT SCHOOL,BROMLEY CROSSROADS VOL FIRE,CLEARSPRINGS FELLOWSHIP HALL,CROSSROADS ALTERNATIVE SCHOOL,DAPHNE CIVIC CENTER 1,DAPHNE CIVIC CENTER 2,DAPHNE HIGH SCHOOL .1,DAPHNE HIGH SCHOOL .2,DAPHNE INTERMEDIATE SCHOOL .1,DAPHNE INTERMEDIATE SCHOOL .2,DAPHNE ST_PAUL EPISCOPAL CHRCH,ELBERTA CIVIC CENTER,ELSANOR COMMUNITY CENTER,FAIRHOPE CIVIC CENTER .1,FAIRHOPE CIVIC CENTER .2,FAIRHOPE CIVIC CENTER .3,FAIRHOPE CIVIC CENTER .4,FERGUSON STORE - LITTLE RIVER,FOLEY CIVIC CENTER .1,FOLEY CIVIC CENTER .2,FORT MORGAN VFD STATION .2,GATESWOOD FIRE STATION,GATESWOOD HAMILTON CHURCH,GULF SHORES ACTIVITY CENTER .1,GULF SHORES ACTIVITY CENTER .2,JOSEPHINE FIRE HOUSE,LILLIAN COMMINUTY HALL .1,LILLIAN COMMUNITY HALL .2,LOTTIE FIRE DEPARTMENT,LOXLEY ELLISVILLE COMM CENTER,LOXLEY TOWN HALL,MAGNOLIA SPRINGS WESLEYAN,MARLOW VOLUNTEER FIRE,MIFLIN COMMUNITY CENTER,ORANGE BEACH COMM CENTER .1,ORANGE BEACH COMM CENTER .2,PERDIDO BEACH FIRE HOUSE,PERDIDO ELEMENTARY SCHOOL,PINE GROVE SCHOOL,RABUN FIRE HOUSE,ROBERTSDALE CITY HALL,ROSINTON ELEMENTARY SCHOOL,S_ RIVERPORT CHURCH OF GOD .1,S_ RIVERPORT CHURCH OF GOD .2,SEMINOLE FIRE HOUSE,SILVERHILL TOWN HALL,SPANISH FORT FIRE DEPARTMENT,SPANISH FORT SCHOOL .1,SPANISH FORT SCHOOL .2,STAPELTON COMMUNITY HALL,STOCKTON FIRE HOUSE,SUMMERDALE COMMUNITY HALL,TENSAW COMMUNITY CENTER,VAUGHN COMMUNITY CENTER,WHITE HOUSE VOLUNTEER FIRE,Bay Minette City Hall Civic 3,ROCKWELL ELEM. SCHOOL
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,BALDWIN,LIEUTENANT GOVERNOR,WI,WRITE-IN,118,5,3,1,0,4,0,1,2,3,0,1,2,2,2,0,2,0,4,2,1,2,1,5,3,1,4,2,0,0,0,4,6,2,0,4,0,1,4,2,0,1,4,0,2,1,0,3,1,1,4,4,1,2,3,2,0,1,0,2,0,1,4,3,2
02,BALDWIN,UNITED STATES SENATOR,DEM,"Parker, Susan",9525,183,140,67,52,298,149,79,104,85,8,64,138,162,285,0,696,0,235,167,91,231,260,412,262,36,243,287,67,8,21,205,308,47,0,549,22,78,93,237,190,198,320,0,75,89,123,78,242,108,212,130,46,135,138,281,0,71,46,108,63,131,80,148,144
02,BALDWIN,UNITED STATES SENATOR,LIB,"Allen, Jeff",848,15,10,14,2,18,5,15,14,4,2,1,11,14,20,0,22,0,33,25,12,20,20,37,21,1,16,25,4,0,0,17,31,5,0,40,2,1,16,40,20,12,34,0,9,8,1,6,31,12,21,12,5,20,14,36,0,10,3,21,0,3,8,19,10
02,BALDWIN,UNITED STATES SENATOR,REP,"Sessions, Jeff",34273,853,478,379,168,1011,34,588,435,171,55,191,585,638,1310,0,1047,0,938,710,347,747,727,1181,771,60,734,928,206,17,86,904,1199,227,0,1447,63,94,490,1008,754,753,1569,0,262,222,358,172,1020,537,939,706,196,751,789,1483,0,383,172,641,20,122,344,584,669
02,BALDWIN,UNITED STATES SENATOR,WI,WRITE-IN,58,4,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,2,0,1,0,2,2,1,2,1,0,0,0,0,3,0,0,1,0,1,1,2,2,2,6,0,0,0,0,0,0,2,1,0,1,1,2,2,0,0,0,1,0,0,3,2,1
02,BALDWIN,ATTORNEY GENERAL,DEM,"Whigham, Boyd",9018,184,137,69,54,270,152,77,92,78,9,64,122,150,269,0,678,0,229,177,82,227,242,384,237,38,243,251,63,8,23,186,286,43,0,510,22,77,81,221,179,186,303,0,66,87,128,66,231,100,179,136,40,123,129,260,0,65,42,111,61,126,83,147,135
02,BALDWIN,ATTORNEY GENERAL,LIB,"Myers, Wilson",1298,23,16,13,3,27,5,24,25,6,2,6,23,20,36,0,27,0,43,47,19,28,27,52,30,1,23,40,11,0,1,50,71,8,0,59,3,0,14,37,37,29,64,0,11,7,10,6,42,17,32,26,13,24,24,49,0,10,8,22,0,4,7,21,15
02,BALDWIN,ATTORNEY GENERAL,REP,"Pryor, Bill",33888,832,469,373,163,1012,31,581,429,174,54,177,580,630,1297,0,1054,0,930,663,341,728,731,1174,772,57,718,935,200,16,80,874,1172,224,0,1447,60,93,496,1010,733,746,1545,0,263,219,338,177,998,529,946,683,185,748,782,1467,0,388,225,624,20,123,330,580,662
02,BALDWIN,ATTORNEY GENERAL,WI,WRITE-IN,78,6,1,2,0,2,0,0,0,0,0,1,1,1,2,0,1,0,1,3,0,3,1,1,2,1,1,0,0,0,0,3,3,1,0,7,0,0,4,3,1,0,3,0,1,0,1,1,0,1,2,1,0,2,2,4,0,1,0,2,0,0,3,0,2
02,BALDWIN,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",11577,223,186,89,68,380,165,102,142,97,16,73,159,180,400,0,772,0,309,226,106,266,282,482,321,43,291,348,86,10,30,232,340,49,0,614,27,85,112,304,232,238,403,0,82,101,160,81,304,145,259,164,49,164,178,385,0,102,60,150,62,149,98,204,192
02,BALDWIN,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",1483,23,18,14,1,29,5,29,18,5,2,6,19,31,47,0,44,0,43,47,18,31,34,56,36,1,26,43,11,0,1,54,78,9,0,59,2,5,26,53,38,30,84,0,13,14,12,8,57,21,42,30,9,30,22,65,0,9,9,20,0,6,9,16,15
