County,Gordon Persons (D),John S. Crowder (R)
Autauga,836,12
Baldwin,2673,114
Barbour,900,10
Bibb,981,21
Blount ,1925,294
Bullock,431,5
Butler,1192,33
Calhoun,3420,155
Chambers,1531,23
Cherokee,896,36
Chilton,2739,1207
Choctaw,776,3
Clarke,1327,5
Clay,1085,104
Cleburne,483,61
Coffee,1651,14
Colbert,2382,99
Conecuh,853,0
Coosa,698,52
Covington,2083,58
Crenshaw,965,55
Cullman,4135,1090
Dale,1096,39
Dallas,1874,23
Dekalb,5135,2520
Elmore,2033,26
Escambia,1618,36
Etowah,4326,360
Fayette,1028,354
Franklin,3117,1112
Geneva,1101,49
Greene,568,3
Hale,917,5
Henry,744,4
Houston,1771,100
Jackson,1564,127
Jefferson,30646,1318
Lamar,1095,40
Lauderdale,2808,188
Lawrence,1001,127
Lee,1762,46
Limestone,1473,16
Lowndes,519,11
Macon,901,14
Madison,2204,77
Marengo,1142,7
Marion,1640,193
Marshall,2090,272
Mobile,9187,457
Monroe,1126,4
Montgomery,6813,233
Morgan,2771,143
Perry,769,3
Pickens,840,17
Pike,1337,15
Randolph,1163,113
Russell,968,11
Shelby,2020,407
St. Clair,1690,149
Sumter,743,5
Talladega,2894,124
Tallapoosa,2016,37
Tuscaloosa,2687,238
Walker,6043,1394
Washington,741,7
Wilcox,781,1
Winston,1690,1301
Calculated,154414,15177
Reported,155414,15177
