Unnamed: 0,Unnamed: 1, , .1
County,CD,Bentley,Byrne
Autauga  ,2,3422,3396
Baldwin  ,1,15032,16231
Barbour  ,2,338,392
Bibb  ,6,1873,579
Blount  ,4,6290,2655
Bullock  ,2,100,176
Butler  ,2,1120,835
Calhoun  ,3,5626,3330
Chambers  ,3,949,892
Cherokee  ,3,1259,482
Chilton  ,6,5298,2508
Choctaw  ,7,81,61
Clarke  ,"1, 7",1240,950
Clay  ,3,663,349
Cleburne  ,3,768,367
Coffee  ,2,3150,2448
Colbert  ,5,2238,1457
Conecuh  ,2,321,215
Coosa  ,"3, 6",802,461
Covington  ,2,2367,1625
Crenshaw  ,2,575,372
Cullman  ,4,6841,3838
Dale  ,2,2475,1824
Dallas  ,7,1102,958
DeKalb  ,4,3091,1252
Elmore  ,2,4984,5172
Escambia  ,1,1648,1508
Etowah  ,4,6893,2838
Fayette  ,4,2148,312
Franklin  ,4,874,361
Geneva  ,2,2531,1082
Greene  ,7,335,61
Hale  ,7,926,165
Henry  ,2,1033,749
Houston  ,2,7231,4117
Jackson  ,5,1928,1040
Jefferson  ,"6, 7",27375,30371
Lamar  ,4,731,169
Lauderdale  ,5,3369,2633
Lawrence  ,5,1288,835
Lee  ,3,4675,6804
Limestone  ,5,3684,3895
Lowndes  ,2,337,371
Macon  ,3,221,181
Madison  ,5,14299,17244
Marengo  ,7,634,225
Marion  ,4,2540,668
Marshall  ,4,7452,5053
Mobile  ,1,17706,18654
Monroe  ,1,1733,743
Montgomery  ,"2, 3",8012,12461
Morgan  ,"4, 5",10675,9359
Perry  ,7,396,201
Pickens  ,"4, 7",1566,167
Pike  ,2,1782,1202
Randolph  ,3,582,388
Russell  ,3,550,608
Shelby  ,6,13305,12322
St. Clair  ,"4, 6",5663,3687
Sumter  ,7,113,49
Talladega  ,3,4924,2099
Tallapoosa  ,3,2913,2029
Tuscaloosa  ,"6, 7",17981,2896
Walker  ,4,5018,2352
Washington  ,1,959,566
Wilcox  ,7,273,198
Winston  ,4,2925,1015
Total,,261233,204503
Percentages,,0.5609,0.4391
