County,Jas. B. Allen,Jimmy Faulkner,J.E. Folsom,James Gullate,J. Bruce Henderson,C.C. Owen,Henry Sweet
Autauga,196,842,1724,6,439,141,1
Baldwin,339,4957,4065,12,669,83,27
Barbour,255,1018,3332,3,600,34,9
Bibb,99,381,2263,3,138,1873,5
Blount ,630,1140,6135,13,198,152,25
Bullock,302,199,1036,12,594,18,0
Butler,377,1072,3422,15,1041,55,32
Calhoun,3117,4333,6581,68,679,1402,78
Chambers,850,2632,3198,12,1110,172,9
Cherokee,789,756,3457,20,396,242,11
Chilton,476,1854,3519,18,477,335,11
Choctaw,231,555,2637,11,400,195,19
Clarke,306,1058,3557,8,1028,206,12
Clay,530,1164,3057,14,172,346,12
Cleburne,416,764,2742,13,106,309,15
Coffee,161,768,5732,18,434,30,4
Colbert,694,2927,5234,29,309,515,16
Conecuh,192,912,2957,8,457,133,4
Coosa,226,985,2411,11,249,134,6
Covington,385,3166,6179,16,1161,153,9
Crenshaw,189,899,4160,21,536,50,6
Cullman,526,2237,8465,26,289,135,12
Dale,336,1288,3699,12,649,60,4
Dallas,1015,1823,1685,61,1767,189,4
Dekalb,1091,1196,6293,38,129,237,7
Elmore,488,2089,5058,29,844,81,14
Escambia,374,1760,4619,14,1015,82,11
Etowah,6449,4199,13029,86,392,665,22
Fayette,360,1398,3131,22,60,211,2
Franklin,389,2141,4588,15,166,372,13
Geneva,175,722,4541,37,478,29,7
Greene,202,151,526,3,181,428,23
Hale,475,610,1048,11,514,330,0
Henry,172,605,2579,10,469,155,3
Houston,747,1230,4692,144,1047,115,18
Jackson,500,2050,5345,32,332,741,11
Jefferson,11938,25556,24250,196,5853,2041,1565
Lamar,92,3291,2756,19,51,85,13
Lauderdale,918,4932,5872,19,309,770,17
Lawrence,832,1173,3623,24,265,721,8
Lee,1057,2182,2354,323,693,147,20
Limestone,675,1453,2739,13,478,1117,9
Lowndes,84,343,829,3,590,26,0
Macon,247,622,1647,18,652,26,6
Madison,2258,3502,5175,44,1121,359,21
Marengo,444,885,1839,31,1003,408,10
Marion,292,1958,6431,30,82,284,22
Marshall,935,2335,9807,45,205,259,15
Mobile,4654,12129,13539,217,2798,859,171
Monroe,158,1429,2236,7,623,47,2
Montgomery,2216,6697,8790,40,2324,273,15
Morgan,2362,2869,6613,42,854,921,22
Perry,350,661,1142,4,489,260,4
Pickens,249,1353,2212,8,823,235,5
Pike,378,1683,3437,8,605,61,6
Randolph,599,1453,4568,29,320,329,9
Russell,283,664,4020,102,1091,95,32
Shelby,511,2079,3856,11,617,265,16
St. Clair,422,1407,3771,26,212,189,4
Sumter,188,759,613,12,617,334,15
Talladega,1418,4256,6704,31,782,465,24
Tallapoosa,533,2355,6346,40,1151,214,14
Tuscaloosa,2503,4387,8412,73,1142,1094,39
Walker,656,3277,10171,32,393,430,16
Washington,133,641,2910,6,836,231,16
Wilcox,82,165,777,3,1438,53,0
Winston,154,548,1259,4,27,117,1
Calculated,61680,152925,305394,2331,47969,23123,2579
Reported,61530,151925,305384,2371,47969,22623,2579
