County,Bill Baxley,Charlie Graddick,Fob James,George McMillan,Barbara E. O'Neal
Autauga,2195,2163,2449,847,18
Baldwin,4107,6082,5133,1206,61
Barbour,2931,1839,1334,351,16
Bibb,2634,1470,1322,617,45
Blount ,2393,3614,1919,1152,52
Bullock,2494,611,1050,384,17
Butler,2782,1682,2110,1161,27
Calhoun,6860,7729,3857,4984,330
Chambers,2811,2875,3079,718,31
Cherokee,3524,1314,631,523,50
Chilton,2900,3547,1910,920,57
Choctaw,4132,1745,791,234,33
Clarke,3326,2809,2023,276,13
Clay,1218,1652,1023,676,49
Cleburne,1289,1334,1231,1572,62
Coffee,3552,2394,2572,1030,24
Colbert,7585,3340,1699,2452,67
Conecuh,2240,2108,898,566,21
Coosa,1528,1086,799,331,24
Covington,3352,2890,3050,1401,74
Crenshaw,2153,1395,1412,523,15
Cullman,5828,6100,2929,2068,216
Dale,3016,2993,2189,848,17
Dallas,6418,2635,3430,1199,32
Dekalb,5533,3162,2019,1798,81
Elmore,3322,3185,3805,1511,39
Escambia,3586,4332,1861,809,150
Etowah,11705,8506,4229,4330,315
Fayette,2290,2903,1039,901,61
Franklin,3501,2096,1104,980,53
Geneva,2754,2606,1562,615,68
Greene,2788,716,656,346,31
Hale,2447,1192,821,607,33
Henry,2044,1250,848,405,9
Houston,7461,4348,4199,1748,53
Jackson,5016,2702,1752,1544,76
Jefferson,50891,39040,37307,20784,641
Lamar,2135,1624,1193,1654,78
Lauderdale,7818,3342,2215,2838,63
Lawrence,4704,2653,1160,1074,76
Lee,4308,3460,4320,2935,34
Limestone,5877,3783,1966,1479,60
Lowndes,2547,407,787,454,3
Macon,4314,803,950,850,29
Madison,13028,10295,6521,7404,225
Marengo,3663,1764,1876,475,25
Marion,4188,3560,1458,1489,143
Marshall,5240,5800,3032,2095,106
Mobile,17251,30159,8849,4630,127
Monroe,3278,2884,1280,605,66
Montgomery,18135,8723,13456,6447,92
Morgan,8116,6147,5294,3052,169
Perry,2642,855,867,724,8
Pickens,3321,2254,1464,891,61
Pike,3516,2233,2555,798,33
Randolph,1661,1630,1278,791,54
Russell,3450,2335,1478,371,26
Shelby,3174,4392,4801,1478,67
St. Clair,2678,3386,1947,1144,81
Sumter,3881,741,1273,409,40
Talladega,5185,4225,4196,1299,148
Tallapoosa,3760,3943,3529,1158,40
Tuscaloosa,10658,9858,3868,4936,102
Walker,5978,7353,2236,2258,302
Washington,2817,3112,606,342,29
Wilcox,2259,1005,834,387,10
Winston,1797,1543,513,374,29
Calculated,345985,275714,195844,117258,5287
Reported,345985,275714,195844,117258,5287
