Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,,,,Total Number of Votes,ABSENTEE VOTERS,ASHVILLE NEW TOWN HALL,BRANCHVILLE-CUMBERLAND PRESBY_,CHANDLER MTN COMMUNITY HOUSE,COOK SPRINGS FIRE DEPARTMENT,CROPWELL CIVIC CENTER .1,CROPWELL CIVIC CENTER .2,EASONVILLE COOSA VALLEY SCH .1,EASONVILLE COOSA VALLEY SCH .2,EDEN OLD CITY HALL,FAIRVIEW CHURCH,FRIENDSHIP VOLUNTEER FIRE,GREASY COVE PLEASANT VALLEY CH,GUM SPRINGS CHURCH,MARGARET CITY HALL,MOODY CIVIC CENTER .1,MOODY CIVIC CENTER .2,MOODY CIVIC CENTER .3,NEW LONDON FIRE HALL,ODENVILLE AGING CENTER,OLDHAM CHAPEL CHURCH ED_ BLDG_,PELL CITY BRIDGE BUILDERS .1,PELL CITY BRIDGE BUILDERS .2,PINEDALE CIVIC CENTER,POPLAR SPRINGS CHURCH,PRESCOTT COMMUNITY CENTER,RAGLAND TOWN HALL,RIVERSIDE CITY HALL,SHOAL CREEK,SLATE UNION CHURCH,SPRINGVILLE ARMORY .1,SPRINGVILLE ARMORY .2,STEELE COMMUNITY CENTER,WATTSVILLE FIRE DEPARTMENT,WHITES CHAPEL CITY HALL,WOLF CREEK FIRE DEPARTMENT
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,STCLAIR,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,19940,225,1064,675,118,529,311,731,595,817,539,85,423,98,151,443,1265,1119,706,581,922,155,549,1333,308,198,286,815,548,243,161,1546,986,475,546,266,128
59,STCLAIR,GOVERNOR,DEM,"Siegelman, Don",8026,78,607,213,34,199,118,289,217,275,207,35,152,24,67,213,434,383,213,274,339,70,256,629,140,101,112,483,256,105,62,537,318,206,245,79,56
59,STCLAIR,GOVERNOR,LIB,"Sophocleus, John P.",316,0,23,10,0,7,2,9,10,6,9,1,9,0,1,7,20,22,17,10,21,2,7,18,12,2,10,3,7,4,4,27,20,5,4,7,0
59,STCLAIR,GOVERNOR,REP,"Riley, Bob",11443,148,418,448,81,320,187,428,364,532,315,49,255,72,82,214,804,705,474,293,558,83,282,680,155,93,163,325,281,130,95,968,636,257,295,180,73
59,STCLAIR,GOVERNOR,WI,WRITE-IN,50,0,2,1,0,1,2,3,2,3,3,0,2,0,0,3,2,1,1,3,2,0,0,3,0,0,0,0,2,2,0,3,7,1,1,0,0
59,STCLAIR,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",7664,90,595,197,36,188,116,286,232,287,209,34,139,26,69,203,370,358,209,260,302,58,264,635,128,89,86,462,256,99,60,467,281,198,249,74,52
59,STCLAIR,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",335,0,22,10,2,11,4,10,7,9,9,0,11,1,2,10,17,19,11,8,24,2,10,15,12,1,18,9,10,2,1,32,16,8,6,6,0
59,STCLAIR,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",11700,134,424,462,76,327,188,427,351,515,316,53,269,70,76,221,869,730,483,311,582,89,268,667,163,102,173,329,273,137,98,1032,683,259,284,186,73
