County,J.E. Folsom,Gene McLain,Shorty Price,Thomas Robinson,George Wallace
Autauga,200,1994,111,13,3954
Baldwin,344,3423,280,84,12068
Barbour,392,1121,224,33,5805
Bibb,183,1221,39,15,3702
Blount,242,1629,48,343,4332
Bullock,186,2045,77,14,2125
Butler,93,1894,50,36,4291
Calhoun,313,6177,83,243,14959
Chambers,209,1884,149,43,7146
Cherokee,352,749,84,30,4509
Chilton,173,1636,64,104,5045
Choctaw,240,1702,35,45,4436
Clarke,224,1792,83,62,4818
Clay,164,1701,208,30,3053
Cleburne,309,843,14,345,2586
Coffee,316,1822,128,16,6895
Colbert,478,3253,148,27,9093
Conecuh,103,1488,57,56,3454
Coosa,362,1279,35,199,2218
Covington,146,2191,116,83,7678
Crenshaw,94,1532,44,44,3552
Cullman,577,5537,76,96,9388
Dale,242,1556,125,21,7119
Dallas,248,6911,91,73,7797
Dekalb,465,2099,58,60,7128
Elmore,211,3104,132,25,6265
Escambia,241,1992,67,85,7420
Etowah,446,7155,153,583,18519
Fayette,408,1691,43,53,4503
Franklin,402,1157,26,411,4107
Geneva,221,1002,45,39,6801
Greene,111,1282,21,38,1486
Hale,207,1295,124,25,2841
Henry,259,662,20,175,3350
Houston,257,2598,66,129,10307
Jackson,437,1443,90,21,6652
Jefferson,2917,57161,952,959,67137
Lamar,405,531,20,52,4874
Lauderdale,543,3954,220,63,10567
Lawrence,336,1530,41,48,6074
Lee,305,3818,168,50,7691
Limestone,212,2068,197,41,7231
Lowndes,129,865,93,7,1654
Macon,294,3323,215,39,2604
Madison,449,11844,448,176,21983
Marengo,329,2586,100,70,5352
Marion,447,1715,71,77,6416
Marshall,449,3773,245,65,9737
Mobile,2418,14862,1014,756,39236
Monroe,208,1593,55,70,5078
Montgomery,779,16881,435,288,18241
Morgan,424,4333,316,66,12237
Perry,139,2592,22,28,2616
Pickens,313,1308,33,52,4507
Pike,125,2681,88,56,5321
Randolph,488,949,163,41,4994
Russell,372,1376,342,35,6194
Shelby,228,2701,214,35,7564
St. Clair,194,1114,119,24,5498
Sumter,164,1060,34,51,2786
Talladega,427,4456,161,591,9459
Tallapoosa,386,3822,247,42,7381
Tuscaloosa,611,7276,438,62,14200
Walker,466,4656,72,71,11403
Washington,202,1278,20,28,4640
Wilcox,148,1624,72,58,3060
Winston,59,445,5,26,1098
Calculated,24821,249035,9834,7726,536235
Reported,24821,249695,9834,7726,536235
