Unnamed: 0,Jim Partain (AS),Mohammed Oliver (SW),Sallie Hadnott (ND)
Autauga,15,10,59
Baldwin,33,14,54
Barbour,27,13,16
Bibb,5,1,6
Blount,19,1,8
Bullock,4,10,11
Butler,12,3,7
Calhoun,116,14,54
Chambers,8,5,16
Cherokee,6,2,6
Chilton,30,5,3
Choctaw,16,3,0
Clarke,18,3,16
Clay,87,1,8
Cleburne,8,2,9
Coffee,20,5,17
Colbert,14,4,20
Conecuh,13,5,5
Coosa,8,2,0
Covington,37,12,21
Crenshaw,6,0,7
Cullman,44,7,6
Dale,14,5,9
Dallas,12,7,30
Dekalb,31,0,1
Elmore,24,4,25
Escambia,60,17,20
Etowah,56,17,66
Fayette,9,0,1
Franklin,20,10,5
Geneva,18,3,11
Greene,4,0,24
Hale,3,4,16
Henry,15,4,5
Houston,61,20,26
Jackson,19,1,6
Jefferson,447,875,1459
Lamar,7,0,0
Lauderdale,26,15,29
Lawrence,15,1,14
Lee ,28,16,29
Limestone,16,2,14
Lowndes,7,3,18
Macon,7,10,9
Madison,90,67,125
Marengo,5,1,5
Marion,230,1,4
Marshall,16,7,13
Mobile,372,90,199
Monroe,25,5,6
Montgomery,62,52,85
Morgan,33,10,29
Perry,4,1,3
Pickens,15,0,13
Pike,14,3,3
Randolph,21,5,6
Russell,46,22,39
Shelby,23,19,38
St. Clair,30,1,14
Sumter,8,2,31
Talladega,41,13,35
Tallapoosa,16,10,28
Tuscaloosa,44,55,104
Walker,73,8,9
Washington,13,1,13
Wilcox,3,0,2
Winston,20,2,3
Total,2649,1511,2973
