County,Albert Brewer,Coleman Brown,Asa Carter,J.E. Folsom,Ralph Price,George Wallace,Chas. Woods
Autauga,2639,13,258,88,54,3452,1409
Baldwin,5572,33,303,224,38,9850,1429
Barbour,3464,50,72,181,37,4979,508
Bibb,1690,74,145,10,3,2580,947
Blount,3672,106,123,15,5,3028,1384
Bullock,2137,21,64,44,32,1663,971
Butler,2338,4,363,7,8,3786,1029
Calhoun,9583,101,825,20,60,10415,5691
Chambers,4905,37,74,98,28,5828,651
Cherokee,2299,8,46,30,4,3463,806
Chilton,2910,7,247,9,18,3607,1378
Choctaw,2812,30,103,9,7,3820,498
Clarke,3824,32,120,90,30,4844,734
Clay,1971,8,182,9,2,2277,1282
Cleburne,1927,14,140,21,2,2392,667
Coffee,4264,16,323,143,26,5520,835
Colbert,6691,36,302,37,4,6226,3913
Conecuh,2212,11,226,7,4,2948,387
Coosa,1781,17,110,5,1,1511,855
Covington,4421,11,636,12,8,7604,1278
Crenshaw,1977,2,250,6,10,2991,775
Cullman,8022,31,217,75,10,5658,4468
Dale,3284,8,205,122,46,5683,990
Dallas,9262,29,179,17,14,5760,1733
Dekalb,5633,30,38,29,24,4689,1820
Elmore,4361,49,468,132,62,5705,1664
Escambia,4371,7,187,14,8,6567,649
Etowah,9946,35,709,29,55,9511,9620
Fayette,2957,1,138,16,6,2745,1626
Franklin,3794,11,127,22,21,3701,2392
Geneva,2306,9,218,16,20,5637,552
Greene,730,3,36,4,1,1018,198
Hale,2340,19,171,52,25,2023,402
Henry,1776,7,88,7,5,3234,405
Houston,5079,28,311,23,26,11065,1468
Jackson,3641,16,15,56,4,5976,1687
Jefferson,90124,675,1197,259,147,53995,20979
Lamar,1973,19,210,12,1,3832,1030
Lauderdale,7848,34,191,30,3,7594,3771
Lawrence,2946,5,100,30,7,4108,2394
Lee,7009,82,80,19,7,5587,901
Limestone,4264,18,57,25,3,5199,1967
Lowndes,1907,34,101,48,73,1115,938
Macon,4448,35,49,12,1,1286,1191
Madison,19681,59,273,390,366,14796,9519
Marengo,4930,37,152,40,25,4014,798
Marion,3212,9,203,30,6,4132,3146
Marshall,6491,23,115,33,5,6157,3774
Mobile,28357,343,853,177,773,38156,8627
Monroe,3221,19,167,22,4,4006,387
Montgomery,21406,102,893,329,244,15258,6442
Morgan,11716,34,83,26,7,7446,3045
Perry,3354,14,171,28,18,1927,526
Pickens,3145,24,153,7,2,3037,745
Pike,3506,26,190,76,28,4042,990
Randolph,2862,22,138,23,0,4902,681
Russell,3980,32,59,19,8,5469,397
Shelby,4309,21,234,7,6,3591,2120
St. Clair,3289,15,147,148,52,4152,1960
Sumter,3271,8,41,3,1,1555,300
Talladega,8295,37,444,37,38,7505,3649
Tallapoosa,4674,31,330,123,73,4692,3033
Tuscaloosa,13910,116,288,428,171,11010,3329
Walker,6949,25,219,41,7,9527,4793
Washington,2072,3,134,5,6,3760,723
Wilcox,3198,19,124,10,14,1916,295
Winston,1208,1,26,7,0,921,436
Calculated,428146,2836,15441,4123,2804,416443,149987
Reported,428146,2836,15441,4123,2804,416443,149887
