County,Jerome Couch (AP),George Wallace (D),John Cashin (NDPA),John Watts (W),A.C. Shelton (I),Menter Walker (I)
Autauga,106,5206,1183,45,552,6
Baldwin,229,13556,882,57,1032,15
Barbour,231,5937,1429,32,201,13
Bibb,13,3917,288,1,155,1
Blount,51,6266,85,39,671,49
Bullock,60,2176,2353,20,152,7
Butler,19,5600,645,10,287,16
Calhoun,142,17076,1784,83,2464,129
Chambers,163,7788,930,17,270,16
Cherokee,68,3774,74,6,165,2
Chilton,28,6926,297,37,550,12
Choctaw,17,4304,1183,11,111,5
Clarke,88,6454,1548,20,271,18
Clay,7,3491,103,3,134,37
Cleburne,13,3507,45,5,238,6
Coffee,84,8082,760,26,444,29
Colbert,245,9751,1461,50,914,94
Conecuh,20,3286,574,31,174,15
Coosa,8,2841,609,5,219,23
Covington,32,11295,450,7,696,16
Crenshaw,27,4324,400,13,228,4
Cullman,67,11608,300,20,1772,42
Dale,82,7762,557,25,307,9
Dallas,28,8438,5639,16,622,21
Dekalb,28,8372,151,11,689,16
Elmore,183,8213,862,33,868,57
Escambia,39,8773,1164,78,456,10
Etowah,158,18067,1935,68,2263,69
Fayette,13,4549,82,28,459,49
Franklin,84,5817,271,13,434,13
Geneva,23,7073,181,21,124,11
Greene,7,1745,2420,16,91,3
Hale,82,3574,2014,48,169,4
Henry,2,3969,490,5,47,0
Houston,101,13511,989,51,409,27
Jackson,130,7860,193,13,256,4
Jefferson,1905,83591,30048,602,24086,1688
Lamar,17,4956,108,8,118,10
Lauderdale,320,11660,1062,55,1260,160
Lawrence,10,5978,411,8,202,2
Lee,235,7130,1723,55,1281,19
Limestone,239,7826,492,27,512,12
Lowndes,51,1728,2041,66,308,5
Macon,118,1897,3858,48,414,25
Madison,695,28669,5021,371,6629,82
Marengo,40,5587,3625,21,180,2
Marion,23,6323,64,15,242,9
Marshall,141,10253,193,36,1275,62
Mobile,1021,58124,11909,362,3658,195
Monroe,26,5115,1235,36,202,8
Montgomery,258,26770,8044,301,6048,48
Morgan,469,12536,969,83,1892,11
Perry,4,3117,2769,4,198,2
Pickens,4,4668,1314,5,280,3
Pike,105,6503,1151,40,510,2
Randolph,130,4291,115,13,193,4
Russell,344,5880,750,52,125,18
Shelby,167,7162,636,67,1078,113
St. Clair,50,6305,470,34,769,19
Sumter,3,3194,2914,13,137,6
Talladega,34,12420,2082,40,1074,33
Tallapoosa,195,7547,555,30,691,36
Tuscaloosa,344,17810,4175,91,1983,38
Walker,27,13953,592,16,994,42
Washington,10,4498,533,16,92,4
Wilcox,23,2695,2239,11,131,14
Winston,19,3972,62,7,223,14
Calculated,9705,637046,125491,3497,75679,3534
Reported,9705,637046,125491,3497,75679,3534
