County,A.W. Todd (D),Jack Thompson (R)
Autauga,4134,7490
Baldwin,11141,20341
Barbour,3608,2205
Bibb,3217,2275
Blount,5263,6334
Bullock,2432,1037
Butler,3406,2966
Calhoun,11867,11096
Chambers,5171,3296
Cherokee,2931,1370
Chilton,5126,5578
Choctaw,3187,1281
Clarke,4049,2988
Clay,2407,1748
Cleburne,1736,1091
Coffee,5447,5309
Colbert,8059,6297
Conecuh,3121,1354
Coosa,2097,1273
Covington,3929,4224
Crenshaw,1992,1651
Cullman,10581,11655
Dale,4905,5234
Dallas,8962,5199
Dekalb,7057,6308
Elmore,5294,10821
Escambia,3847,2918
Etowah,16897,12692
Fayette,3085,2154
Franklin,5141,2443
Geneva,3415,2700
Greene,3901,544
Hale,3210,1343
Henry,3438,1863
Houston,9143,11033
Jackson,5265,3307
Jefferson,90000,109075
Lamar,2994,1560
Lauderdale,11921,10364
Lawrence,5198,3275
Lee,8102,11117
Limestone,5917,8415
Lowndes,2727,1448
Macon,4605,823
Madison,31642,39727
Marengo,4730,2535
Marion,5714,3110
Marshall,8170,8229
Mobile,38123,45287
Monroe,3682,2505
Montgomery,24104,34134
Morgan,11761,18898
Perry,3238,1243
Pickens,4845,2305
Pike,4508,3607
Randolph,2481,1853
Russell,5018,2973
Shelby,7677,25137
St. Clair,7026,9244
Sumter,3301,1002
Talladega,9449,7673
Tallapoosa,6135,5506
Tuscaloosa,18456,18912
Walker,11054,7266
Washington,3983,2057
Wilcox,3164,1038
Winston,3664,4793
Calculated,541850,566529
Reported,541850,566529
