Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,Total Number of Votes,ABSENTEE VOTERS,BOLIGEE CITY HALL,CARVER SCHOOL,CLINTON RECREATION CENTER,DOLLARHIDE RECREATION CENTER,EATMAN SCHOOL,EUTAW ACTIVITY CENTER,EUTAW PRE-SCHOOL,FORKLAND CITY HALL,GREENE COUNTY COURTHOUSE,JENA CLUBHOUSE,LAW LIBRARY,MANTUA FIRE DEPARTMENT,MONTGOMERY RECREATION CENTER,MORROW BROWN RECREATION CENTER,MT. HEBRON PRE-SCHOOL,NATIONAL GUARD ARMORY,SOUTH FORK REST.,TISHABEE RECREATION CENTER,UNION CITY HALL,WEST GREENE FIRE STATION
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,
32,GREENE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,4306,256,309,131,171,37,27,304,262,576,150,81,157,211,141,244,196,493,68,183,223,86
32,GREENE,GOVERNOR,DEM,"Siegelman, Don",3576,192,269,125,160,32,18,291,179,502,128,50,116,194,117,242,189,277,60,176,194,65
32,GREENE,GOVERNOR,LIB,"Sophocleus, John P.",20,2,2,0,0,0,2,0,3,4,0,1,2,1,0,0,0,1,0,1,1,0
32,GREENE,GOVERNOR,REP,"Riley, Bob",666,52,37,4,9,5,7,10,74,64,22,28,36,14,24,1,7,212,8,4,28,20
32,GREENE,GOVERNOR,WI,WRITE-IN,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
32,GREENE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3486,204,238,118,143,31,20,287,173,486,124,51,116,193,115,234,184,292,62,166,186,63
32,GREENE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",24,0,5,0,2,0,0,0,3,3,2,1,2,0,1,1,0,3,0,1,0,0
32,GREENE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",633,37,44,8,13,5,7,8,75,66,19,28,33,13,22,3,8,181,5,7,29,22
32,GREENE,LIEUTENANT GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,GREENE,UNITED STATES SENATOR,DEM,"Parker, Susan",3277,185,235,117,139,29,15,277,157,464,118,53,99,188,110,233,182,234,53,156,178,55
32,GREENE,UNITED STATES SENATOR,LIB,"Allen, Jeff",41,1,4,0,2,0,0,2,6,7,3,1,3,1,0,0,1,2,1,4,2,1
32,GREENE,UNITED STATES SENATOR,REP,"Sessions, Jeff",836,61,54,9,19,7,12,16,89,84,25,26,48,19,26,4,9,239,13,11,36,29
32,GREENE,UNITED STATES SENATOR,WI,WRITE-IN,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,GREENE,ATTORNEY GENERAL,DEM,"Whigham, Boyd",3138,183,222,114,133,29,17,266,146,442,110,42,95,182,114,226,182,212,54,152,169,48
32,GREENE,ATTORNEY GENERAL,LIB,"Myers, Wilson",60,1,7,0,7,1,1,4,3,7,5,0,4,3,0,3,1,5,0,2,4,2
32,GREENE,ATTORNEY GENERAL,REP,"Pryor, Bill",881,54,56,11,18,6,9,21,100,97,27,33,47,20,22,6,7,249,13,14,39,32
32,GREENE,ATTORNEY GENERAL,WI,WRITE-IN,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
32,GREENE,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",3364,190,239,120,147,29,16,269,174,466,120,51,107,185,113,233,180,264,62,157,183,59
32,GREENE,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",43,1,5,1,1,0,0,2,3,6,2,1,5,1,1,2,0,5,1,3,2,1
32,GREENE,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",654,49,41,4,12,6,11,20,65,72,22,23,35,16,20,1,8,195,4,6,23,21
