County,Kerry - D,Bush - R,Badnarik - I,Nader - I,Peroutka - I,Write-Ins
Autauga,4758,15196,24,74,21,8
Baldwin,15599,52971,269,371,72,38
Barbour,4832,5899,12,26,7,1
Bibb,2089,5472,10,12,12,5
Blount,3938,17386,47,92,31,10
Bullock,3210,1494,5,4,4,0
Butler,3413,4979,7,13,3,1
Calhoun,15083,29814,96,182,53,21
Chambers,5347,7622,17,42,4,0
Cherokee,3040,5923,22,43,15,6
Chilton,3778,12829,22,46,15,3
Choctaw,3303,3897,5,15,5,2
Clarke,4627,6730,8,19,9,1
Clay,1893,4624,9,38,10,2
Cleburne,1391,4370,7,24,2,4
Coffee,4480,13019,22,73,16,6
Colbert,10598,13188,34,88,18,9
Conecuh,2719,3271,5,17,9,0
Coosa,2055,2905,13,8,16,4
Covington,3423,11119,12,37,33,3
Crenshaw,1698,3777,2,17,6,0
Cullman,8045,26818,64,155,75,34
Dale,4484,13621,24,75,20,7
Dallas,11175,7335,13,28,19,3
DeKalb,7092,16904,0,99,27,13
Elmore,6471,22056,48,68,30,7
Escambia,3814,8513,13,28,20,7
Etowah,15328,26999,99,196,43,15
Fayette,2408,5534,16,30,7,7
Franklin,4514,7690,9,48,4,4
Geneva,2113,8342,22,27,12,4
Greene,3764,958,11,12,3,0
Hale,4631,3281,11,15,4,3
Henry,2452,4881,7,15,6,0
Houston,9144,26874,37,91,38,17
Jackson,8635,11534,28,92,17,15
Jefferson,132286,158680,567,999,241,194
Lamar,1956,4894,4,26,5,0
Lauderdale,14628,22161,80,155,57,26
Lawrence,6155,7730,29,44,34,9
Lee,16227,27972,170,204,37,0
Limestone,9126,19702,54,120,56,15
Lowndes,4233,1786,0,0,0,2
Macon,7800,1570,12,16,8,1
Madison,52644,77173,438,548,159,100
Marengo,5037,5255,10,16,3,1
Marion,3808,8983,9,61,10,4
Marshall,8452,22783,60,155,30,11
Mobile,63732,92014,211,598,167,49
Monroe,3666,5831,5,23,6,3
Montgomery,45160,44097,124,198,46,25
Morgan,14131,32477,114,187,69,29
Perry,3767,1738,5,7,5,1
Pickens,3915,5170,14,24,6,3
Pike,4334,7483,16,44,3,3
Randolph,2817,6127,15,35,3,4
Russell,8375,8337,26,51,7,13
Shelby,14850,63435,190,284,109,38
St. Clair,5456,23500,50,96,45,14
Sumter,4527,1880,6,10,8,2
Talladega,11374,18331,50,89,45,9
Tallapoosa,5451,12392,31,53,17,8
Tuscaloosa,26447,42877,110,263,83,50
Walker,9016,19167,27,108,33,16
Washington,3145,5060,3,29,6,4
Wilcox,3838,1834,4,4,2,0
Winston,2236,8130,11,34,8,4
TOTAL,693933,1176394,3495,6701,1994,898
