Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,Total Number of Votes,ABSENTEE VOTERS,BLACKBURN-ZIP CITY COMM_ CTR_,BROADWAY RECREATION CENTER,CENTER STAR-COL_ BANK COMM_ RM,CENTRAL COMMUNITY CENTER,CHAPEL-STEWARTVILLE CHURCH,CLOVERDALE COMMUNITY CENTER,CO_ BOARD OF ED_ ADM_ BLDG_,CROSSROADS-SR_ CIT_ BLDG_,DARBY DRIVE-CHURCH OF CHRIST,FLORENCE RICHARDS CENTER,FLORENCE SHERROD AVE CH CHRIST,FLORENCE-1ST PRESBYTERIAN CH_,FLORENCE-BLVD CHURCH OF CHRIST,FLORENCE-BRADSHAW HIGH SCHOOL,FLORENCE-COFFEE HIGH SCHOOL,FLORENCE-EAST AT CNTRL BAPTIST,FLORENCE-FOREST HILLS SCHOOL 1,FLORENCE-FOREST HILLS SCHOOL 2,FLORENCE-HANDY RECREATION CTR_,FLORENCE-HARLAN SCHOOL,FLORENCE-HIBBETT SCHOOL,FLORENCE-MARS HILL SCHOOL .1,FLORENCE-MARS HILL SCHOOL .2,FLORENCE-UNDERWOOD COMM CTR .1,FLORENCE-UNDERWOOD COMM CTR .2,GREENHILL SR. CITIZEN CENTER #1,GREENHILL SR. CITIZEN CENTER #2,HIGHLAND BAPTIST CHURCH .1,HIGHLAND BAPTIST CHURCH .2,KILLEN-BAPTIST CHURCH .1,KILLEN-BAPTIST CHURCH .2,LEXINGTON-FIRE STATION,MITCHELL ANDERSON-TOWN HALL,OAKLAND-FIRE STATION,ROGERSVILLE-SR_ CIT_ BLDG_  .1,ROGERSVILLE-SR_ CIT_ BLDG_  .2,ST_ FLORIAN-TOWN HALL,WATERLOO-SR_ CITIZENS' BLDG_
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LAUDERDALE,UNITED STATES SENATOR,WI,WRITE-IN,31,0,0,0,0,3,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,4,1,0,1,0,1,3,2,1,2,1,1,1,0,2,0,0,1,0
39,LAUDERDALE,ATTORNEY GENERAL,DEM,"Whigham, Boyd",10355,204,249,350,521,371,174,286,318,370,223,119,423,139,216,351,144,244,215,236,449,272,204,249,151,253,174,457,373,202,228,182,304,326,214,292,168,384,261,59
39,LAUDERDALE,ATTORNEY GENERAL,LIB,"Myers, Wilson",544,11,16,19,26,13,9,13,15,12,12,7,16,14,19,21,11,20,14,12,5,14,9,18,13,9,7,29,18,11,8,13,22,19,11,10,9,21,13,5
39,LAUDERDALE,ATTORNEY GENERAL,REP,"Pryor, Bill",14604,366,265,264,655,444,225,452,726,429,353,179,211,165,478,534,212,161,520,493,35,340,369,582,403,402,284,498,420,276,332,378,617,432,313,388,246,496,560,101
39,LAUDERDALE,ATTORNEY GENERAL,WI,WRITE-IN,50,0,1,1,2,2,1,1,3,2,1,0,2,0,1,1,0,0,2,2,0,2,2,4,2,2,0,3,2,1,0,0,1,0,0,3,0,3,2,1
39,LAUDERDALE,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",11772,227,268,362,562,428,193,333,373,391,267,143,433,158,282,401,171,260,284,272,454,324,244,306,200,309,216,483,426,220,252,211,352,388,245,331,188,424,325,66
39,LAUDERDALE,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",539,12,15,17,36,11,8,18,17,18,13,5,13,12,17,19,16,20,15,10,3,15,12,19,9,9,7,23,17,9,13,12,18,18,7,11,9,19,15,2
39,LAUDERDALE,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",13079,339,247,244,598,385,200,389,670,402,309,155,198,144,407,480,179,144,445,456,31,286,323,514,358,348,243,469,374,252,306,351,569,369,284,336,231,458,493,93
39,LAUDERDALE,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,33,0,1,0,4,0,1,2,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,4,0,1,0,2,2,3,2,0,0,2,2,1,0,0,0,0
39,LAUDERDALE,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",11311,232,257,371,550,409,188,309,344,376,247,139,441,156,261,378,159,273,262,265,461,335,227,282,174,269,208,471,395,221,256,199,335,360,220,324,183,396,316,62
