Unnamed: 0,McReynolds (SP),DeBerry(SW),Anderson(I)
,Drufenbrock,Zimmermann,Lucey
Autauga,4,1,125
Baldwin,37,10,414
Barbour,5,5,65
Bibb,0,0,22
Blount,19,1,75
Bullock,0,8,29
Butler,3,5,59
Calhoun,52,4,433
Chambers,8,5,122
Cherokee,1,1,63
Chilton,3,1,60
Choctaw,0,0,22
Clarke,4,1,55
Clay,2,0,34
Cleburne,1,1,34
Coffee,5,4,189
Colbert,36,2,209
Conecuh,2,2,29
Coosa,1,0,19
Covington,7,2,110
Crenshaw,0,0,39
Cullman,2,1,228
Dale,2,3,134
Dallas,1,4,131
Dekalb,0,1,107
Elmore,1,5,171
Escambia,4,4,87
Etowah,6,5,358
Fayette,0,0,47
Franklin,1,7,51
Geneva,2,3,67
Greene,0,0,16
Hale,0,4,56
Henry,6,2,18
Houston,8,5,184
Jackson,1,0,156
Jefferson,456,1062,3509
Lamar,0,1,16
Lauderdale,40,3,431
Lawrence,6,0,64
Lee,2,1,643
Limestone,3,0,183
Lowndes,2,3,15
Macon,19,2,36
Madison,23,20,2246
Marengo,9,1,35
Marion,0,0,61
Marshall,1,1,283
Mobile,21,25,1333
Monroe,2,1,43
Montgomery,7,26,985
Morgan,71,4,457
Perry,0,0,28
Pickens,0,1,61
Pike,22,2,83
Randolph,11,2,58
Russell,4,5,137
St. Clair,2,2,121
Shelby ,3,9,407
Sumter,1,2,45
Talladega,48,4,140
Tallapoosa,17,2,96
Tuscaloosa,4,25,789
Walker,6,0,82
Washington,0,0,24
Wilcox,0,0,13
Winston,2,2,39
Totals,1006,1303,16481
%,0.0007496670837279767,0.0009709902684866338,0.012281573764334775
Total Vote=,1341929,,
,,, 
