Unnamed: 0,Walter Flower,Howell Heflin
Autauga,2602,4685
Baldwin,6385,9767
Barbour,2165,3872
Bibb,3145,2070
Blount,2433,5209
Bullock,845,2361
Butler,2651,3800
Calhoun,8329,14200
Chambers,1838,7148
Cherokee,1802,2234
Chilton,3254,3410
Choctaw,3551,1473
Clarke,2500,4095
Clay,1461,2626
Cleburne,1517,2242
Coffee,2916,6699
Colbert,1360,12205
Conecuh,1419,2636
Coosa,1621,3308
Covington,4190,6573
Crenshaw,1560,2960
Cullman,5186,8207
Dale,2773,6292
Dallas,4866,7900
Dekalb,5077,5331
Elmore,3257,7208
Escambia,3030,5780
Etowah,6801,18011
Fayette,1957,3326
Franklin,1989,5928
Geneva,1621,6187
Greene,1857,1743
Hale,2949,1912
Henry,1281,3067
Houston,4352,12099
Jackson,3015,4137
Jefferson,43980,101416
Lamar,1528,2332
Lauderdale,2782,15792
Lawrence,1713,6242
Lee ,4502,9148
Limestone,3825,6240
Lowndes,961,2536
Macon,1486,4239
Madison,13399,25182
Marengo,3899,2905
Marion,3338,5681
Marshall,5347,8703
Mobile,27166,34562
Monroe,2372,4136
Montgomery,14674,28403
Morgan,5594,12858
Perry,1963,4265
Pickens,2717,3000
Pike,2740,4817
Randolph,2203,3567
Russell,2955,4779
Shelby,5310,7925
St. Clair,3044,5231
Sumter,1872,2630
Talladega,5615,8796
Tallapoosa,3925,7579
Tuscaloosa,15060,11728
Walker,4697,11234
Washington,2237,3472
Wilcox,1955,4340
Winston,634,1644
Total,301048,556083
Certified,300654,556685
