County,Lucy Baxley (D),Tom Davis (R),Unnamed: 3,Unnamed: 4,Unnamed: 5
Autauga,8067,4706,,,
Baldwin,17682,19119,,,
Barbour,6683,1817,,,
Bibb,3879,1608,,,
Blount,7149,5860,,,
Bullock,3087,615,,,
Butler,5049,1576,,,
Calhoun,20549,9811,,,
Chambers,6452,2644,,,
Cherokee,4148,1453,,,
Chilton,7244,4945,,,
Choctaw,3937,1115,,,
Clarke,5662,2230,,,
Clay,3071,1399,,,
Cleburne,2517,1266,,,
Coffee,8595,3776,,,
Colbert,12107,4749,,,
Conecuh,4008,936,,,
Coosa,2779,1046,,,
Covington,6542,2806,,, 
Crenshaw,3620,760,,,
Cullman,14105,9195,,,
Dale,7484,3794,,,
Dallas,12094,2847,,,
Dekalb,9123,6624,,,
Elmore,11723,6806,,,
Escambia,5519,2571,,,
Etowah,22005,10178,,,
Fayette,4886,1857,,,
Franklin,5878,2464,,,
Geneva,4932,2192,,,
Greene,3342,432,,,
Hale,4518,824,,,
Henry,4111,1145,,,
Houston,16453,7085,,,
Jackson,8063,3100,,,
Jefferson,131974,82650,,,
Lamar,2920,1343,,,
Lauderdale,16400,7441,,,
Lawrence,7589,2202,,,
Lee,16024,10708,,,
Limestone,11689,6986,,,
Lowndes,3992,723,,,
Macon,6577,506,,,
Madison,47359,30142,,,
Marengo,6358,1725,,,
Marion,6254,2662,,,
Marshall,12839,7556,,,
Mobile,55332,39912,,,
Monroe,5067,1945,,,
Montgomery,47504,19590,,,
Morgan,21131,12300,,,
Perry,4005,667,,,
Pickens,4751,1769,,,
Pike,6492,2267,,,
Randolph,3482,1728,,,
Russell,6806,2630,,,
Shelby,16629,24200,,,
St. Clair,9841,8701,,,
Sumter,4138,738,,,
Talladega,13590,6285,,,
Tallapoosa,9520,3870,,,
Tuscaloosa,29378,15812,,,
Walker,14455,5748,,,
Washington,4186,1386,,,
Wilcox,3499,720,,,
Winston,3902,3638,,,
Calculated,810746,443901,,,
Reported,810746,443901,,,
