County,Melba Till Allen,"Jim Folsom, Jr.",Hinton Mitchem,John Teague
Autauga,972,2290,1629,2234
Baldwin,1938,5037,4182,4002
Barbour,553,2202,1332,1549
Bibb,498,2407,1316,1709
Blount ,408,2875,4038,1504
Bullock,297,1856,480,1179
Butler,1225,2534,1130,2127
Calhoun,1712,7321,4268,8961
Chambers,1616,2326,2164,2555
Cherokee,441,2104,1554,1118
Chilton,739,3398,2086,2939
Choctaw,907,2419,1087,1848
Clarke,804,2255,1690,3025
Clay,395,1789,810,1265
Cleburne,616,1980,727,1364
Coffee,682,3830,1783,2809
Colbert,884,4152,1908,6332
Conecuh,395,1834,917,1848
Coosa,203,1194,516,1787
Covington,1023,3647,2122,3312
Crenshaw,532,2190,1004,1191
Cullman,1088,10479,2873,2174
Dale,554,3316,1757,2840
Dallas,682,6558,2398,2795
Dekalb,566,4477,5766,1562
Elmore,1363,3764,2231,3672
Escambia,1077,3209,2514,2814
Etowah,2084,9609,7875,8083
Fayette,415,2650,2438,1503
Franklin,404,3133,1482,2344
Geneva,711,3125,1275,1913
Greene,315,2289,743,664
Hale,436,2141,1051,684
Henry,308,1518,888,1480
Houston,1027,6748,4153,5105
Jackson,736,4808,878,2000
Jefferson,7423,50990,34001,53667
Lamar,651,2538,1902,1198
Lauderdale,1021,4245,2635,5405
Lawrence,622,4575,1897,1927
Lee,1217,4027,2979,4859
Limestone,764,5252,2437,2472
Lowndes,285,1919,442,950
Macon,442,2764,578,2179
Madison,2133,13708,12244,8095
Marengo,560,1943,1899,2273
Marion,903,4681,2031,2609
Marshall,505,4680,8570,1574
Mobile,5508,21588,11999,18483
Monroe,643,2386,1868,2721
Montgomery,2841,15708,8235,18580
Morgan,1255,9293,6171,5698
Perry,288,2365,806,1178
Pickens,763,2489,1819,2583
Pike,514,3665,1433,2775
Randolph,484,1710,774,1483
Russell,989,1719,1312,2106
Shelby,776,3143,3933,5289
St. Clair,556,2160,1777,3914
Sumter,455,3198,1545,697
Talladega,806,4271,2018,7254
Tallapoosa,795,4617,2681,3353
Tuscaloosa,1925,9074,4689,10963
Walker,1673,7467,2641,4866
Washington,505,2744,958,2518
Wilcox,328,2929,879,1157
Winston,203,2215,894,782
Calculated,66439,331527,203112,277899
Reported,66439,332527,203112,277899
