Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,STATE AUDITOR,STATE AUDITOR,STATE AUDITOR,STATE AUDITOR,STATE AUDITOR
,DEM,LIB,REP,WI,TBC
,"Gibson, Carolyn","Reeves, Franklin","Chapman, Beth",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,579899,41397,655189,1178,1277663
Autauga,4461,423,9100,29,14013
Baldwin,9976,1648,31367,62,43053
Barbour,4030,237,3123,5,7395
Bibb,2811,198,2943,0,5952
Blount,4688,698,9034,27,14447
Bullock,2363,76,855,0,3294
Butler,3175,101,3265,6,6547
Calhoun,13839,1276,15818,53,30986
Chambers,4660,200,4222,0,9082
Cherokee,3178,232,2206,8,5624
Chilton,4760,497,7410,27,12694
Choctaw,2730,83,1854,0,4667
Clarke,3994,160,3924,11,8089
Clay,2015,167,2455,1,4638
Cleburne,1847,265,2176,10,4298
Coffee,5631,392,6122,11,12156
Colbert,9212,471,6413,25,16121
Conecuh,2642,136,1761,7,4546
Coosa,2244,141,1692,7,4084
Covington,4615,375,5267,20,10277
Crenshaw,1964,106,1989,6,4065
Cullman,9364,1242,13514,42,24162
Dale,4231,408,6648,21,11308
Dallas,9675,379,5302,22,15378
DeKalb,7242,544,7966,6,15758
Elmore,5796,712,13670,35,20213
Escambia,3467,202,4570,12,8251
Etowah,15615,1125,13312,32,30084
Fayette,3745,284,2541,8,6578
Franklin,4327,326,3138,13,7804
Geneva,2474,325,4368,11,7178
Greene,3254,51,700,2,4007
Hale,3921,94,1915,5,5935
Henry,2330,164,2481,2,4977
Houston,7665,725,15369,46,23805
Jackson,6327,452,4684,12,11475
Jefferson,106055,5075,96028,74,207232
Lamar,2758,177,2350,0,5285
Lauderdale,12334,901,11043,25,24303
Lawrence,5963,415,3335,15,9728
Lee,11007,957,15733,0,27697
Limestone,8315,832,9994,20,19161
Lowndes,3366,111,1273,1,4751
Macon,5712,166,831,8,6717
Madison,35141,3673,44411,120,83345
Marengo,4325,131,3007,5,7468
Marion,4971,410,4163,13,9557
Marshall,8571,1270,11463,31,21335
Mobile,40703,2745,56363,9,99820
Monroe,3369,182,4201,1,7753
Montgomery,32439,1375,30181,2,63997
Morgan,13842,1317,18743,0,33902
Perry ,3495,70,1181,6,4752
Pickens,3528,124,2611,3,6266
Pike,4340,179,3466,6,7991
Randolph,3184,238,3181,0,6603
Russell,6048,256,3889,15,10208
Shelby,10662,1372,35917,70,48021
St. Clair,5693,731,12474,32,18930
Sumter,3714,54,1138,2,4908
Talladega,10720,761,9606,46,21133
Tallapoosa,5965,393,7207,15,13580
Tuscaloosa,19799,1170,22077,31,43077
Walker,10957,768,7977,12,19714
Washington,3107,191,2443,14,5755
Wilcox,3038,73,1247,2,4360
Winston,2510,365,4482,16,7373
