Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Charles Bishop,"Blake W. Harper, III",Gladys Riddle,Don Siegelman,"Mark ""Rodeo Clown""",Totals
COUNTY,,,,,,
Autauga,360,27,58,1987,31,2463
Baldwin,484,19,119,3130,63,3815
Barbour,1345,64,95,3964,156,5624
Bibb,490,22,53,1889,48,2502
Blount,172,8,29,1257,19,1485
Bullock,815,46,75,2912,106,3954
Butler,2019,53,89,2934,151,5246
Calhoun,690,44,121,6429,128,7412
Chambers,716,64,82,2767,150,3779
Cherokee,1093,59,150,3438,199,4939
Chilton,277,15,57,2223,35,2607
Choctaw,1383,86,134,3959,141,5703
Clarke,1612,68,130,3714,190,5714
Clay,191,18,38,1363,50,1660
Cleburne,597,39,88,1850,121,2695
Coffee,1054,42,82,2979,95,4252
Colbert,1523,58,150,4552,140,6423
Conecuh,1703,51,72,2132,65,4023
Coosa,506,24,82,2015,87,2714
Covington,1271,44,68,2261,90,3734
Crenshaw,1130,36,70,1602,95,2933
Cullman,2673,135,304,6978,427,10517
Dale,400,33,48,1964,36,2481
Dallas,2555,94,173,8313,214,11349
DeKalb,1211,57,131,4290,143,5832
Elmore,517,36,175,2194,29,2951
Escambia,1799,68,189,3260,228,5544
Etowah,835,44,115,6609,113,7716
Fayette,1773,73,126,3429,239,5640
Franklin,2092,76,175,4264,281,6888
Geneva,137,12,15,859,19,1042
Greene,423,31,50,3002,33,3539
Hale,1138,45,67,4333,124,5707
Henry,864,52,94,2655,134,3799
Houston,1175,48,138,4766,138,6265
Jackson,618,42,86,2532,83,3361
Jefferson,4686,244,684,48942,335,54891
Lamar,1151,61,131,2758,183,4284
Lauderdale,3128,152,428,8610,498,12816
Lawrence,1896,92,216,5363,323,7890
Lee,807,47,118,4019,111,5102
Limestone,1667,100,156,4471,194,6588
Lowndes,955,32,60,2815,65,3927
Macon,500,30,72,4074,40,4716
Madison,1468,171,420,15780,310,18149
Marengo,1244,71,83,3994,111,5503
Marion,2192,98,203,4539,298,7330
Marshall,1162,48,150,4378,167,5905
Mobile,2601,264,491,20257,270,23883
Monroe,802,23,53,2078,40,2996
Montgomery,2482,130,444,15081,140,18277
Morgan,1600,115,223,7158,298,9394
Perry ,931,27,51,3393,79,4481
Pickens,1060,165,150,3558,184,5117
Pike,306,16,24,1269,12,1627
Randolph,770,61,100,2052,146,3129
Russell,571,94,152,4322,143,5282
St. Clair,161,16,37,2004,24,2242
Shelby,253,19,42,2943,29,3286
Sumter,797,110,106,4181,165,5359
Talladega,660,38,113,6065,150,7026
Tallapoosa,1176,57,157,3676,170,5236
Tuscaloosa,1251,111,195,8920,138,10615
Walker,3893,160,230,7838,518,12639
Washington,1296,84,156,3503,225,5264
Wilcox,938,36,60,3973,70,5077
Winston,148,5,13,752,53,971
Calculated,80193,4410,9246,331571,9890,435310
Reported,80193,4410,9246,331571,9890,435310
%,0.18422044060554546,0.010130711447014771,0.02124003583653029,0.7616893707932278,0.022719441317681652,
Total:,870620,,,,,
