Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,Total Number of Votes,ABSENTEE VOTERS,BROWNVILLE VOLUNTEER FIRE,CHEWHAW AME ZION CHURCH,FRANKLIN TOWN HALL,HARDAWAY TRAYLOR,LITTLE TEXAS VOTING CENTER,NATIONAL GUARD ARMORY .1,NATIONAL GUARD ARMORY .2,NOTASULGA CITY HALL .1,NOTASULGA CITY HALL .2,OLD COUNTY DISTRICT 2 SHOP,SEASHA .1,SEASHA .2,SHORTER TOWN HALL,TUSKEGEE MUNICIPAL COMPLEX .1,TUSKEGEE MUNICIPAL COMPLEX .2,TUSKEGEE UNIVERSITY,WARRIOR D-2 RECREATION CENTER,WOODLAND COMMUNITY CENTER
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,
45,MACON,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,7017,197,220,161,478,222,194,373,764,0,577,225,493,545,529,683,572,274,250,260
45,MACON,GOVERNOR,DEM,"Siegelman, Don",5987,173,171,154,389,178,101,347,720,0,328,201,475,505,426,636,530,264,239,150
45,MACON,GOVERNOR,LIB,"Sophocleus, John P.",76,1,0,1,5,0,7,5,7,0,14,1,1,4,6,5,4,2,0,13
45,MACON,GOVERNOR,REP,"Riley, Bob",919,22,47,6,83,44,85,20,34,0,232,23,13,33,92,38,33,7,10,97
45,MACON,GOVERNOR,WI,WRITE-IN,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0
45,MACON,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",6057,187,159,154,378,177,124,348,720,0,362,195,471,507,448,638,527,264,228,170
45,MACON,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",91,0,1,1,10,4,4,5,10,0,7,2,5,5,5,6,9,3,1,13
45,MACON,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",747,9,52,5,81,37,61,12,24,0,201,27,11,25,70,24,20,6,10,72
45,MACON,LIEUTENANT GOVERNOR,WI,WRITE-IN,15,0,0,0,0,0,0,3,2,0,2,0,0,0,0,3,4,0,0,1
45,MACON,UNITED STATES SENATOR,DEM,"Parker, Susan",5542,166,151,140,336,154,85,329,685,0,292,191,450,468,394,592,503,251,220,135
45,MACON,UNITED STATES SENATOR,LIB,"Allen, Jeff",94,3,1,3,4,3,3,3,8,0,4,4,3,6,10,14,8,8,3,6
45,MACON,UNITED STATES SENATOR,REP,"Sessions, Jeff",1261,27,59,16,129,60,97,38,65,0,278,28,32,57,116,68,48,11,17,115
45,MACON,UNITED STATES SENATOR,WI,WRITE-IN,8,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,2,0,1
45,MACON,ATTORNEY GENERAL,DEM,"Whigham, Boyd",5469,162,148,140,345,159,79,325,665,0,289,189,443,462,393,581,480,255,219,135
45,MACON,ATTORNEY GENERAL,LIB,"Myers, Wilson",126,1,3,3,7,7,10,7,20,0,4,1,5,10,7,14,9,5,4,9
45,MACON,ATTORNEY GENERAL,REP,"Pryor, Bill",1235,32,59,14,113,51,96,37,61,0,273,32,33,61,112,65,63,11,10,112
