Unnamed: 0,Unnamed: 1,County,"George Wallace, Jr. (D)"
,,Autauga,5621
,,Baldwin,12087
,,Barbour,4433
,,Bibb,3540
,,Blount,6240
,,Bullock,3275
,,Butler,4127
,,Calhoun,17250
,,Chambers,5353
,,Cherokee,4468
,,Chilton,7479
,,Choctaw,3182
,,Clarke,4683
,,Clay,2428
,,Cleburne,1760
,,Coffee,5788
,,Colbert,11718
,,Conecuh,3011
,,Coosa,2694
,,Covington,4917
,,Crenshaw,2680
,,Cullman,12981
,,Dale,4930
,,Dallas,12060
,,Dekalb,9755
,,Elmore,7878
,,Escambia,4113
,,Etowah,20842
,,Fayette,4206
,,Franklin,4975
,,Geneva,3404
,,Greene,3628
,,Hale,3709
,,Henry,2337
,,Houston,14477
,,Jackson,6265
,,Jefferson,147343
,,Lamar,2557
,,Lauderdale,14709
,,Lawrence,5709
,,Lee,9812
,,Limestone,7802
,,Lowndes,3631
,,Macon,6322
,,Madison,35242
,,Marengo,5396
,,Marion,6269
,,Marshall,8164
,,Mobile,52343
,,Monroe,4112
,,Montgomery,43131
,,Morgan,20379
,,Perry,3699
,,Pickens,5049
,,Pike,4643
,,Randolph,3687
,,Russell,4847
,,Shelby,13712
,,St. Clair,7344
,,Sumter,4681
,,Talladega,11003
,,Tallapoosa,5537
,,Tuscaloosa,24049
,,Walker,11963
,,Washington,4329
,,Wilcox,4107
,,Winston,4647
,,Calculated,718512
,,Reported,718512
