Unnamed: 0,Alvin Abercrombie (AP),Jim Allen (D)
Autauga,169.0,4012.0
Baldwin,319.0,10683.0
Barbour,82.0,3684.0
Bibb,32.0,2772.0
Blount,143.0,6247.0
Bullock,95.0,2088.0
Butler,90.0,3364.0
Calhoun,685.0,14162.0
Chambers,202.0,5636.0
Cherokee,73.0,2417.0
Chilton,138.0,4730.0
Choctaw,33.0,3655.0
Clarke,61.0,4593.0
Clay,63.0,2694.0
Cleburne,72.0,1269.0
Coffee,223.0,6336.0
Colbert,322.0,5014.0
Conecuh,44.0,1951.0
Coosa,55.0,1854.0
Covington,141.0,4509.0
Crenshaw,49.0,2100.0
Cullman,362.0,10975.0
Dale,182.0,4438.0
Dallas,325.0,7559.0
Dekalb,196.0,8204.0
Elmore,262.0,5783.0
Escambia,94.0,5409.0
Etowah,558.0,12934.0
Fayette,48.0,2063.0
Franklin,119.0,3798.0
Geneva,60.0,3185.0
Greene,47.0,1474.0
Hale,66.0,2740.0
Henry,37.0,1659.0
Houston,183.0,6316.0
Jackson,132.0,3471.0
Jefferson,4041.0,95847.0
Lamar,15.0,1899.0
Lauderdale,418.0,6101.0
Lawrence,21.0,2717.0
Lee ,391.0,4785.0
Limestone,139.0,4011.0
Lowndes,50.0,3125.0
Macon,246.0,2943.0
Madison,2714.0,28205.0
Marengo,67.0,4893.0
Marion,382.0,4868.0
Marshall,221.0,4917.0
Mobile,1766.0,50974.0
Monroe,45.0,3653.0
Montgomery,1902.0,26451.0
Morgan,722.0,7770.0
Perry,22.0,2674.0
Pickens,25.0,3291.0
Pike,203.0,4881.0
Randolph,75.0,2505.0
Russell,130.0,3107.0
Shelby,494.0,8272.0
St. Clair,169.0,4585.0
Sumter,11.0,3214.0
Talladega,298.0,7846.0
Tallapoosa,164.0,4142.0
Tuscaloosa,789.0,12666.0
Walker,209.0,8595.0
Washington,37.0,3228.0
Wilcox,16.0,2665.0
Winston,205.0,2933.0
Total,21749.0,501541.0
 ,,
