Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,"PUBLIC SERVICE COMMISSION, PLACE #1","PUBLIC SERVICE COMMISSION, PLACE #1","PUBLIC SERVICE COMMISSION, PLACE #1","PUBLIC SERVICE COMMISSION, PLACE #1","PUBLIC SERVICE COMMISSION, PLACE #1"
,DEM,LIB,REP,WI,TBC
,"Cook, Jan","Clark, Dick","Martin, Charles B.",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,674888,36639,581168,949,1293644
Autauga,5638,386,8116,21,14161
Baldwin,13468,1727,27918,51,43164
Barbour,4960,192,2436,1,7589
Bibb,3375,145,2551,0,6071
Blount,5780,548,8289,22,14639
Bullock,2612,57,712,0,3381
Butler,4162,107,2247,11,6527
Calhoun,16866,979,13584,35,31464
Chambers,5615,189,3409,0,9213
Cherokee,3650,181,1913,6,5750
Chilton,6231,339,6382,14,12966
Choctaw,3214,46,1466,0,4726
Clarke,4937,134,3206,6,8283
Clay,2624,157,1993,6,4780
Cleburne,2295,213,1899,4,4411
Coffee,6757,264,5381,7,12409
Colbert,10081,395,5854,17,16347
Conecuh,3432,82,1166,4,4684
Coosa,2643,112,1399,4,4158
Covington,6760,307,3969,11,11047
Crenshaw,2850,85,1289,6,4230
Cullman,11973,991,11595,33,24592
Dale,5942,318,5268,12,11540
Dallas,10684,257,4549,19,15509
DeKalb,8088,416,7570,3,16077
Elmore,7825,630,11997,39,20491
Escambia,4665,163,3587,7,8422
Etowah,17084,898,12465,30,30477
Fayette,4106,252,2358,6,6722
Franklin,4916,230,2870,7,8023
Geneva,4033,180,3231,10,7454
Greene,3480,49,525,2,4056
Hale,4662,86,1278,3,6029
Henry,3224,122,1854,4,5204
Houston,11728,496,12221,38,24483
Jackson,7170,352,4192,14,11728
Jefferson,110777,5228,91643,80,207728
Lamar,3186,130,2077,0,5393
Lauderdale,13836,721,10209,30,24796
Lawrence,6557,285,3173,6,10021
Lee,13272,940,13741,0,27953
Limestone,10667,588,8327,21,19603
Lowndes,3626,90,1114,2,4832
Macon,5969,130,687,5,6791
Madison,41698,3451,38760,93,84002
Marengo,5142,93,2381,3,7619
Marion,5620,311,3777,11,9719
Marshall,10305,786,10613,37,21741
Mobile,48554,2964,48872,11,100401
Monroe,4607,129,3111,3,7850
Montgomery,34736,1371,29114,4,65225
Morgan,15714,1232,17677,0,34623
Perry ,3843,42,916,4,4805
Pickens,4192,116,2038,2,6348
Pike,4608,158,3231,8,8005
Randolph,3904,205,2727,0,6836
Russell,6608,215,3440,12,10275
Shelby,12993,1467,33271,55,47786
St. Clair,7099,638,11352,20,19109
Sumter,3936,50,915,3,4904
Talladega,12360,582,8418,21,21381
Tallapoosa,7578,325,5947,16,13866
Tuscaloosa,23603,1227,18762,24,43616
Walker,12230,586,7000,5,19821
Washington,3829,154,1916,8,5907
Wilcox,3267,39,1076,0,4382
Winston,3042,301,4144,12,7499
