County,Elizabeth Alexander,Lucy Baxley,"Steven R. Phelps, Sr."
Autauga,1714,2972,1452
Baldwin,1976,2882,1060
Barbour,1331,2716,656
Bibb,1121,2996,760
Blount ,1151,1845,1074
Bullock,494,1327,1269
Butler,1370,2042,730
Calhoun,4177,7591,1594
Chambers,2317,3555,1326
Cherokee,1384,2183,828
Chilton,1356,2798,1071
Choctaw,1310,2864,617
Clarke,1920,3000,657
Clay,1173,1535,734
Cleburne,1177,1436,812
Coffee,2190,3055,1545
Colbert,2360,4129,1415
Conecuh,960,1886,646
Coosa,890,1773,548
Covington,2048,2365,1506
Crenshaw,906,1974,491
Cullman,4096,5435,3292
Dale,1740,3183,1294
Dallas,2150,7351,1170
Dekalb,1980,3576,2086
Elmore,1812,3515,1624
Escambia,1459,3101,744
Etowah,3923,7028,3469
Fayette,1894,3020,1286
Franklin,2457,3118,1453
Geneva,1021,2589,637
Greene,781,2833,374
Hale,650,2331,345
Henry,1031,2624,721
Houston,2105,6304,1523
Jackson,2076,3181,1210
Jefferson,11605,48766,5867
Lamar,1389,2075,1053
Lauderdale,3668,5265,2638
Lawrence,2138,3721,1659
Lee,2804,4623,1395
Limestone,2947,3694,2019
Lowndes,653,1369,364
Macon,1164,2136,407
Madison,7224,10329,4108
Marengo,1199,4032,721
Marion,2768,3111,1702
Marshall,3841,4176,1859
Mobile,11177,16351,3694
Monroe,1359,2046,469
Montgomery,5385,16277,4636
Morgan,5273,7306,3603
Perry,666,3117,316
Pickens,1887,2760,964
Pike,1212,2716,1172
Randolph,1138,1470,483
Russell,1920,3126,996
Shelby,1026,2269,584
St. Clair,2126,2939,1268
Sumter,782,3187,560
Talladega,2744,6522,957
Tallapoosa,3125,4994,1924
Tuscaloosa,5092,13335,3948
Walker,5419,9042,3608
Washington,1704,2996,1199
Wilcox,799,2626,464
Winston,450,665,302
Calculated,157184,313154,96958
Reported,157184,313154,96958
