County,Bill Baxley,Fob James
Autauga,2915,5341
Baldwin,7038,10172
Barbour,2596,4870
Bibb,2374,2902
Blount,3446,4790
Bullock,1035,3366
Butler,2930,4375
Calhoun,9776,14345
Chambers,2672,7405
Cherokee,2372,2433
Chilton,2485,4681
Choctaw,2566,2799
Clarke,3252,4189
Clay,1409,3156
Cleburne,925,3198
Coffee,4313,6065
Colbert,7332,6324
Conecuh,2035,2800
Coosa,2391,3142
Covington,4561,7642
Crenshaw,2155,3303
Cullman,6160,8140
Dale,4036,5984
Dallas,7640,6733
Dekalb,4110,7120
Elmore,3683,7956
Escambia,3599,6153
Etowah,15678,10835
Fayette,2062,3467
Franklin,3628,4418
Geneva,3826,4976
Greene,2189,1949
Hale,2980,2575
Henry,2142,2940
Houston,9468,9503
Jackson,3395,5583
Jefferson,81467,72289
Lamar,1454,2953
Lauderdale,9367,9819
Lawrence,4435,4224
Lee,3592,12141
Limestone,4736,7197
Lowndes,2792,1900
Macon,2086,4663
Madison,15855,24863
Marengo,3834,3892
Marion,4780,5278
Marshall,6549,9078
Mobile,34104,31898
Monroe,2916,4101
Montgomery,17905,27800
Morgan,7095,12896
Perry,3817,2539
Pickens,2565,3456
Pike,3339,5304
Randolph,2076,5424
Russell,4493,6418
Shelby,5571,8352
St. Clair,3769,5226
Sumter,2757,2240
Talladega,7189,8801
Tallapoosa,3755,9046
Tuscaloosa,14462,13191
Walker,8933,7430
Washington,2974,2969
Wilcox,4013,3171
Winston,1078,1331
Calculated,418932,515520
Reported,418932,515520
