county,precinct,office,district,party,candidate,votes
Autauga,,President,,IND,Chase Oliver,65
Autauga,,President,,REP,Donald J. Trump,20484
Autauga,,President,,IND,Jill Stein,48
Autauga,,President,,DEM,Kamala D. Harris,7439
Autauga,,President,,IND,Robert F. Kennedy Jr.,154
Autauga,,President,,NON,Write-ins,91
Baldwin,,President,,IND,Chase Oliver,241
Baldwin,,President,,REP,Donald J. Trump,95798
Baldwin,,President,,IND,Jill Stein,171
Baldwin,,President,,DEM,Kamala D. Harris,24934
Baldwin,,President,,IND,Robert F. Kennedy Jr.,664
Baldwin,,President,,NON,Write-ins,441
Barbour,,President,,IND,Chase Oliver,14
Barbour,,President,,REP,Donald J. Trump,5606
Barbour,,President,,IND,Jill Stein,13
Barbour,,President,,DEM,Kamala D. Harris,4158
Barbour,,President,,IND,Robert F. Kennedy Jr.,41
Barbour,,President,,NON,Write-ins,23
Bibb,,President,,IND,Chase Oliver,11
Bibb,,President,,REP,Donald J. Trump,7572
Bibb,,President,,IND,Jill Stein,4
Bibb,,President,,DEM,Kamala D. Harris,1619
Bibb,,President,,IND,Robert F. Kennedy Jr.,35
Bibb,,President,,NON,Write-ins,16
Blount,,President,,IND,Chase Oliver,33
Blount,,President,,REP,Donald J. Trump,25354
Blount,,President,,IND,Jill Stein,39
Blount,,President,,DEM,Kamala D. Harris,2576
Blount,,President,,IND,Robert F. Kennedy Jr.,113
Blount,,President,,NON,Write-ins,48
Bullock,,President,,IND,Chase Oliver,6
Bullock,,President,,REP,Donald J. Trump,1101
Bullock,,President,,IND,Jill Stein,1
Bullock,,President,,DEM,Kamala D. Harris,2983
Bullock,,President,,IND,Robert F. Kennedy Jr.,15
Bullock,,President,,NON,Write-ins,5
Butler,,President,,IND,Chase Oliver,8
Butler,,President,,REP,Donald J. Trump,5172
Butler,,President,,IND,Jill Stein,5
Butler,,President,,DEM,Kamala D. Harris,3251
Butler,,President,,IND,Robert F. Kennedy Jr.,31
Butler,,President,,NON,Write-ins,13
Calhoun,,President,,IND,Chase Oliver,67
Calhoun,,President,,REP,Donald J. Trump,34912
Calhoun,,President,,IND,Jill Stein,84
Calhoun,,President,,DEM,Kamala D. Harris,13194
Calhoun,,President,,IND,Robert F. Kennedy Jr.,273
Calhoun,,President,,NON,Write-ins,123
Chambers,,President,,IND,Chase Oliver,28
Chambers,,President,,REP,Donald J. Trump,8711
Chambers,,President,,IND,Jill Stein,14
Chambers,,President,,DEM,Kamala D. Harris,5405
Chambers,,President,,IND,Robert F. Kennedy Jr.,63
Chambers,,President,,NON,Write-ins,24
Cherokee,,President,,IND,Chase Oliver,16
Cherokee,,President,,REP,Donald J. Trump,11358
Cherokee,,President,,IND,Jill Stein,14
Cherokee,,President,,DEM,Kamala D. Harris,1553
Cherokee,,President,,IND,Robert F. Kennedy Jr.,43
