county,precinct,office,district,party,candidate,votes
Autauga,,President,,REP,Donald J. Trump,18172
Autauga,,President,,IND,Gary Johnson,546
Autauga,,President,,DEM,Hillary Rodham Clinton,5936
Autauga,,President,,IND,Jill Stein,105
Autauga,,President,,NON,Write-ins,214
Baldwin,,President,,REP,Donald J. Trump,72883
Baldwin,,President,,IND,Gary Johnson,2464
Baldwin,,President,,DEM,Hillary Rodham Clinton,18458
Baldwin,,President,,IND,Jill Stein,456
Baldwin,,President,,NON,Write-ins,954
Barbour,,President,,REP,Donald J. Trump,5454
Barbour,,President,,IND,Gary Johnson,93
Barbour,,President,,DEM,Hillary Rodham Clinton,4871
Barbour,,President,,IND,Jill Stein,18
Barbour,,President,,NON,Write-ins,33
Bibb,,President,,REP,Donald J. Trump,6738
Bibb,,President,,IND,Gary Johnson,124
Bibb,,President,,DEM,Hillary Rodham Clinton,1874
Bibb,,President,,IND,Jill Stein,17
Bibb,,President,,NON,Write-ins,66
Blount,,President,,REP,Donald J. Trump,22808
Blount,,President,,IND,Gary Johnson,337
Blount,,President,,DEM,Hillary Rodham Clinton,2150
Blount,,President,,IND,Jill Stein,89
Blount,,President,,NON,Write-ins,146
Bullock,,President,,REP,Donald J. Trump,1139
Bullock,,President,,IND,Gary Johnson,22
Bullock,,President,,DEM,Hillary Rodham Clinton,3530
Bullock,,President,,IND,Jill Stein,10
Bullock,,President,,NON,Write-ins,8
Butler,,President,,REP,Donald J. Trump,4901
Butler,,President,,IND,Gary Johnson,65
Butler,,President,,DEM,Hillary Rodham Clinton,3726
Butler,,President,,IND,Jill Stein,13
Butler,,President,,NON,Write-ins,27
Calhoun,,President,,REP,Donald J. Trump,32865
Calhoun,,President,,IND,Gary Johnson,1116
Calhoun,,President,,DEM,Hillary Rodham Clinton,13242
Calhoun,,President,,IND,Jill Stein,262
Calhoun,,President,,NON,Write-ins,379
Chambers,,President,,REP,Donald J. Trump,7843
Chambers,,President,,IND,Gary Johnson,168
Chambers,,President,,DEM,Hillary Rodham Clinton,5784
Chambers,,President,,IND,Jill Stein,44
Chambers,,President,,NON,Write-ins,61
Cherokee,,President,,REP,Donald J. Trump,8953
Cherokee,,President,,IND,Gary Johnson,147
Cherokee,,President,,DEM,Hillary Rodham Clinton,1547
Cherokee,,President,,IND,Jill Stein,26
Cherokee,,President,,NON,Write-ins,60
Chilton,,President,,REP,Donald J. Trump,15081
Chilton,,President,,IND,Gary Johnson,228
Chilton,,President,,DEM,Hillary Rodham Clinton,2911
Chilton,,President,,IND,Jill Stein,52
Chilton,,President,,NON,Write-ins,97
Choctaw,,President,,REP,Donald J. Trump,4106
Choctaw,,President,,IND,Gary Johnson,52
Choctaw,,President,,DEM,Hillary Rodham Clinton,3109
Choctaw,,President,,IND,Jill Stein,6
Choctaw,,President,,NON,Write-ins,19
Clarke,,President,,REP,Donald J. Trump,7140
Clarke,,President,,IND,Gary Johnson,99
Clarke,,President,,DEM,Hillary Rodham Clinton,5749
Clarke,,President,,IND,Jill Stein,17
Clarke,,President,,NON,Write-ins,26
Clay,,President,,REP,Donald J. Trump,5245
Clay,,President,,IND,Gary Johnson,93
Clay,,President,,DEM,Hillary Rodham Clinton,1237
Clay,,President,,IND,Jill Stein,16
Clay,,President,,NON,Write-ins,33
Cleburne,,President,,REP,Donald J. Trump,5764
Cleburne,,President,,IND,Gary Johnson,90
Cleburne,,President,,DEM,Hillary Rodham Clinton,684
Cleburne,,President,,IND,Jill Stein,20
Cleburne,,President,,NON,Write-ins,35
Coffee,,President,,REP,Donald J. Trump,15875
Coffee,,President,,IND,Gary Johnson,396
Coffee,,President,,DEM,Hillary Rodham Clinton,4221
Coffee,,President,,IND,Jill Stein,104
Coffee,,President,,NON,Write-ins,171
Colbert,,President,,REP,Donald J. Trump,16746
Colbert,,President,,IND,Gary Johnson,511
Colbert,,President,,DEM,Hillary Rodham Clinton,7312
Colbert,,President,,IND,Jill Stein,107
Colbert,,President,,NON,Write-ins,239
Conecuh,,President,,REP,Donald J. Trump,3420
Conecuh,,President,,IND,Gary Johnson,51
Conecuh,,President,,DEM,Hillary Rodham Clinton,3080
Conecuh,,President,,IND,Jill Stein,10
Conecuh,,President,,NON,Write-ins,24
Coosa,,President,,REP,Donald J. Trump,3381
Coosa,,President,,IND,Gary Johnson,53
Coosa,,President,,DEM,Hillary Rodham Clinton,1782
Coosa,,President,,IND,Jill Stein,14
Coosa,,President,,NON,Write-ins,22
Covington,,President,,REP,Donald J. Trump,13267
Covington,,President,,IND,Gary Johnson,183
Covington,,President,,DEM,Hillary Rodham Clinton,2387
Covington,,President,,IND,Jill Stein,36
Covington,,President,,NON,Write-ins,67
Crenshaw,,President,,REP,Donald J. Trump,4513
Crenshaw,,President,,IND,Gary Johnson,65
Crenshaw,,President,,DEM,Hillary Rodham Clinton,1664
Crenshaw,,President,,IND,Jill Stein,14
Crenshaw,,President,,NON,Write-ins,11
Cullman,,President,,REP,Donald J. Trump,32989
Cullman,,President,,IND,Gary Johnson,687
Cullman,,President,,DEM,Hillary Rodham Clinton,3798
Cullman,,President,,IND,Jill Stein,134
Cullman,,President,,NON,Write-ins,265
Dale,,President,,REP,Donald J. Trump,13808
Dale,,President,,IND,Gary Johnson,350
Dale,,President,,DEM,Hillary Rodham Clinton,4413
Dale,,President,,IND,Jill Stein,62
Dale,,President,,NON,Write-ins,116
Dallas,,President,,REP,Donald J. Trump,5784
Dallas,,President,,IND,Gary Johnson,96
Dallas,,President,,DEM,Hillary Rodham Clinton,12826
Dallas,,President,,IND,Jill Stein,24
Dallas,,President,,NON,Write-ins,47
Dekalb,,President,,REP,Donald J. Trump,21779
Dekalb,,President,,IND,Gary Johnson,469
Dekalb,,President,,DEM,Hillary Rodham Clinton,3682
Dekalb,,President,,IND,Jill Stein,156
Dekalb,,President,,NON,Write-ins,192
Elmore,,President,,REP,Donald J. Trump,27634
Elmore,,President,,IND,Gary Johnson,738
Elmore,,President,,DEM,Hillary Rodham Clinton,8443
Elmore,,President,,IND,Jill Stein,112
Elmore,,President,,NON,Write-ins,333
Escambia,,President,,REP,Donald J. Trump,10282
Escambia,,President,,IND,Gary Johnson,195
Escambia,,President,,DEM,Hillary Rodham Clinton,4698
Escambia,,President,,IND,Jill Stein,38
Escambia,,President,,NON,Write-ins,84
Etowah,,President,,REP,Donald J. Trump,32353
Etowah,,President,,IND,Gary Johnson,835
Etowah,,President,,DEM,Hillary Rodham Clinton,10442
Etowah,,President,,IND,Jill Stein,164
Etowah,,President,,NON,Write-ins,370
Fayette,,President,,REP,Donald J. Trump,6712
Fayette,,President,,IND,Gary Johnson,109
Fayette,,President,,DEM,Hillary Rodham Clinton,1362
Fayette,,President,,IND,Jill Stein,24
Fayette,,President,,NON,Write-ins,42
Franklin,,President,,REP,Donald J. Trump,9466
Franklin,,President,,IND,Gary Johnson,238
Franklin,,President,,DEM,Hillary Rodham Clinton,2197
Franklin,,President,,IND,Jill Stein,54
Franklin,,President,,NON,Write-ins,85
Geneva,,President,,REP,Donald J. Trump,9994
Geneva,,President,,IND,Gary Johnson,149
Geneva,,President,,DEM,Hillary Rodham Clinton,1525
Geneva,,President,,IND,Jill Stein,24
Geneva,,President,,NON,Write-ins,66
Greene,,President,,REP,Donald J. Trump,838
Greene,,President,,IND,Gary Johnson,13
Greene,,President,,DEM,Hillary Rodham Clinton,4012
Greene,,President,,IND,Jill Stein,5
Greene,,President,,NON,Write-ins,11
Hale,,President,,REP,Donald J. Trump,3172
Hale,,President,,IND,Gary Johnson,54
Hale,,President,,DEM,Hillary Rodham Clinton,4772
Hale,,President,,IND,Jill Stein,12
Hale,,President,,NON,Write-ins,26
Henry,,President,,REP,Donald J. Trump,5632
Henry,,President,,IND,Gary Johnson,91
Henry,,President,,DEM,Hillary Rodham Clinton,2292
Henry,,President,,IND,Jill Stein,17
Henry,,President,,NON,Write-ins,40
Houston,,President,,REP,Donald J. Trump,30728
Houston,,President,,IND,Gary Johnson,779
Houston,,President,,DEM,Hillary Rodham Clinton,10664
Houston,,President,,IND,Jill Stein,144
Houston,,President,,NON,Write-ins,324
Jackson,,President,,REP,Donald J. Trump,16643
Jackson,,President,,IND,Gary Johnson,389
Jackson,,President,,DEM,Hillary Rodham Clinton,3663
Jackson,,President,,IND,Jill Stein,90
Jackson,,President,,NON,Write-ins,154
Jefferson,,President,,REP,Donald J. Trump,134498
Jefferson,,President,,IND,Gary Johnson,6613
Jefferson,,President,,DEM,Hillary Rodham Clinton,156384
Jefferson,,President,,IND,Jill Stein,1540
Jefferson,,President,,NON,Write-ins,4326
Lamar,,President,,REP,Donald J. Trump,5819
Lamar,,President,,IND,Gary Johnson,62
Lamar,,President,,DEM,Hillary Rodham Clinton,1035
Lamar,,President,,IND,Jill Stein,15
Lamar,,President,,NON,Write-ins,30
Lauderdale,,President,,REP,Donald J. Trump,27899
Lauderdale,,President,,IND,Gary Johnson,987
Lauderdale,,President,,DEM,Hillary Rodham Clinton,9952
Lauderdale,,President,,IND,Jill Stein,222
Lauderdale,,President,,NON,Write-ins,465
Lawrence,,President,,REP,Donald J. Trump,10732
Lawrence,,President,,IND,Gary Johnson,249
Lawrence,,President,,DEM,Hillary Rodham Clinton,3611
Lawrence,,President,,IND,Jill Stein,31
Lawrence,,President,,NON,Write-ins,88
Lee,,President,,REP,Donald J. Trump,34617
Lee,,President,,IND,Gary Johnson,2030
Lee,,President,,DEM,Hillary Rodham Clinton,21230
Lee,,President,,IND,Jill Stein,364
Lee,,President,,NON,Write-ins,950
Limestone,,President,,REP,Donald J. Trump,29067
Limestone,,President,,IND,Gary Johnson,1055
Limestone,,President,,DEM,Hillary Rodham Clinton,9468
Limestone,,President,,IND,Jill Stein,202
Limestone,,President,,NON,Write-ins,502
Lowndes,,President,,REP,Donald J. Trump,1751
Lowndes,,President,,IND,Gary Johnson,32
Lowndes,,President,,DEM,Hillary Rodham Clinton,4883
Lowndes,,President,,IND,Jill Stein,11
Lowndes,,President,,NON,Write-ins,7
Macon,,President,,REP,Donald J. Trump,1431
Macon,,President,,IND,Gary Johnson,69
Macon,,President,,DEM,Hillary Rodham Clinton,7566
Macon,,President,,IND,Jill Stein,49
Macon,,President,,NON,Write-ins,25
Madison,,President,,REP,Donald J. Trump,89520
Madison,,President,,IND,Gary Johnson,6621
Madison,,President,,DEM,Hillary Rodham Clinton,62822
Madison,,President,,IND,Jill Stein,1254
Madison,,President,,NON,Write-ins,3172
Marengo,,President,,REP,Donald J. Trump,5233
Marengo,,President,,IND,Gary Johnson,104
Marengo,,President,,DEM,Hillary Rodham Clinton,5615
Marengo,,President,,IND,Jill Stein,13
Marengo,,President,,NON,Write-ins,29
Marion,,President,,REP,Donald J. Trump,11273
Marion,,President,,IND,Gary Johnson,181
Marion,,President,,DEM,Hillary Rodham Clinton,1432
Marion,,President,,IND,Jill Stein,26
Marion,,President,,NON,Write-ins,71
Marshall,,President,,REP,Donald J. Trump,29233
Marshall,,President,,IND,Gary Johnson,678
Marshall,,President,,DEM,Hillary Rodham Clinton,4917
Marshall,,President,,IND,Jill Stein,158
Marshall,,President,,NON,Write-ins,330
Mobile,,President,,REP,Donald J. Trump,94002
