file,rows
20021105__al__general__precinct.csv,195712
1992GeneralElection-CountyLevel-Cir.Distr.Amds..csv,927
1992GeneralElection-CountyLevel-Fed._St..csv,1936
eaattorneygeneral1986-2010-Dem.Pri.86.csv,276
eaattorneygeneral1986-2010-Dem.Pri.90.csv,207
eaattorneygeneral1986-2010-Dem.Pri.RO.csv,138
eaattorneygeneral1986-2010-Gen.02.csv,340
eaattorneygeneral1986-2010-Gen.10.csv,203
eaattorneygeneral1986-2010-Gen.86.csv,69
eaattorneygeneral1986-2010-Gen.90.csv,138
eaattorneygeneral1986-2010-Gen.94.csv,138
eaattorneygeneral1986-2010-Gen.98.csv,138
eaattorneygeneral1986-2010-Rep.Pri.10.csv,134
eaauditor1986-2010-Dem.Pri.02.csv,345
eaauditor1986-2010-Dem.Pri.86.csv,207
eaauditor1986-2010-Dem.Pri.90.csv,138
eaauditor1986-2010-Dem.Pri.94.csv,276
eaauditor1986-2010-Dem.Pri.98.csv,138
eaauditor1986-2010-Dem.RO.02.csv,280
eaauditor1986-2010-Dem.RO94.csv,138
eaauditor1986-2010-Gen.02.csv,340
eaauditor1986-2010-Gen.86.csv,69
eaauditor1986-2010-Gen.90.csv,138
eaauditor1986-2010-Gen.94.csv,138
eaauditor1986-2010-Gen.98.csv,138
eaauditor1986-2010-Rep.Pri.02.csv,276
eaauditor1986-2010-Rep.Pri.90.csv,138
eaauditor1986-2010-Rep.RO.02.csv,142
eacommissionerag-and-ind1986-2010-Dem.Pri.02.csv,207
eacommissionerag-and-ind1986-2010-Dem.Pri.94.csv,276
eacommissionerag-and-ind1986-2010-Dem.Pri.98.csv,138
eacommissionerag-and-ind1986-2010-Dem.Pri.RO90.csv,138
eacommissionerag-and-ind1986-2010-Dem.Pri.RO94.csv,138
eacommissionerag-and-ind1986-2010-Gen.02.csv,340
eacommissionerag-and-ind1986-2010-Gen.06.csv,202
eacommissionerag-and-ind1986-2010-Gen.10.csv,197
eacommissionerag-and-ind1986-2010-Gen.86.csv,69
eacommissionerag-and-ind1986-2010-Gen.90.csv,138
eacommissionerag-and-ind1986-2010-Gen.94.csv,138
eacommissionerag-and-ind1986-2010-Gen.98.csv,138
eacommissionerag-and-ind1986-2010-Rep.Pri.02.csv,138
eacommissionerag-and-ind1986-2010-Rep.Pri.10.csv,67
eagovernor1946-2010-Dem.Pri.46.csv,345
eagovernor1946-2010-Dem.Pri.50.1.csv,345
eagovernor1946-2010-Dem.Pri.50.2.csv,345
eagovernor1946-2010-Dem.Pri.50.3.csv,345
eagovernor1946-2010-Dem.Pri.54.csv,483
eagovernor1946-2010-Dem.Pri.58.1.csv,345
eagovernor1946-2010-Dem.Pri.58.2.csv,276
eagovernor1946-2010-Dem.Pri.58.3.csv,345
eagovernor1946-2010-Dem.Pri.62.1.csv,229
eagovernor1946-2010-Dem.Pri.62.2.csv,276
eagovernor1946-2010-Dem.Pri.66.1.csv,345
eagovernor1946-2010-Dem.Pri.66.2.csv,345
eagovernor1946-2010-Dem.Pri.70.csv,483
eagovernor1946-2010-Dem.Pri.74.csv,345
eagovernor1946-2010-Dem.Pri.78.1.csv,414
eagovernor1946-2010-Dem.Pri.78.2.csv,483
eagovernor1946-2010-Dem.Pri.82.csv,345
eagovernor1946-2010-Dem.Pri.86.csv,345
